time,variant,elapsed,phase,limit,current_mb,high_events,psi_some_avg10,anon,file,pgscan,pgsteal,pgmajfault,repl_fail_events,repl_lock_main_lost,repl_pg_private_alloc,repl_pg_private_free,repl_pte_miss_events,repl_rdprotect_handled,repl_reclaimed,repl_reclaimed_replicas,repl_remote_faults_on_main,repl_repl_allocated,repl_repl_copy_events,repl_skipped_pressure,repl_tlb_flushed,repl_total_faults,repl_unreplicated,repl_writes_to_replicated,vm_numa_pte_updates,vm_numa_huge_pte_updates,vm_numa_hint_faults,vm_numa_hint_faults_local,vm_numa_pages_migrated,vm_pgmigrate_success,vm_pgmigrate_fail
2026-08-29T12:07:15.548,repl-interleaved,22.501,normal,max,6721,0,0.00,4878319616,2107482112,0,0,457834,460042,0,0,0,2298884,0,0,0,442980,1125069,1125069,0,2637950,2698510,0,0,107,0,99,0,99,99,0
2026-08-29T12:07:16.048,repl-interleaved,23.001,normal,max,6720,0,0.00,4878319616,2107482112,0,0,457834,460042,0,0,0,2298884,0,0,0,442980,1125069,1125069,0,2637950,2698510,0,0,107,0,99,0,99,99,0
2026-08-29T12:07:16.548,repl-interleaved,23.501,normal,max,6709,0,0.00,4878319616,2107482112,0,0,457834,460042,0,0,0,2298884,0,0,0,442980,1125069,1125069,0,2637950,2698510,0,0,107,0,99,0,99,99,0
2026-08-29T12:07:17.048,repl-interleaved,24.001,normal,max,6707,0,0.00,4878319616,2107482112,0,0,457834,460042,0,0,0,2298884,0,0,0,442980,1125069,1125069,0,2637950,2698510,0,0,107,0,99,0,99,99,0
2026-08-29T12:07:17.550,repl-interleaved,24.502,normal,max,6707,0,0.00,4878323712,2107482112,0,0,457834,460042,0,0,0,2298884,0,0,0,442980,1125069,1125069,0,2637950,2698510,0,0,107,0,99,0,99,99,0
2026-08-29T12:07:18.048,repl-interleaved,25.001,normal,max,6707,0,0.00,4878323712,2107482112,0,0,457834,460042,0,0,0,2298884,0,0,0,442980,1125069,1125069,0,2637950,2698510,0,0,107,0,99,0,99,99,0
2026-08-29T12:07:18.548,repl-interleaved,25.501,normal,max,6706,0,0.00,4878323712,2107482112,0,0,457834,460042,0,0,0,2298884,0,0,0,442980,1125069,1125069,0,2637950,2698510,0,0,107,0,99,0,99,99,0
2026-08-29T12:07:19.048,repl-interleaved,26.001,normal,max,6707,0,0.00,4878323712,2107482112,0,0,457834,460042,0,0,0,2298884,0,0,0,442980,1125069,1125069,0,2637950,2698510,0,0,107,0,99,0,99,99,0
2026-08-29T12:07:19.548,repl-interleaved,26.501,normal,max,6710,0,0.00,4878135296,2107482112,0,0,457834,460042,0,0,0,2298884,0,0,0,442980,1125069,1125069,0,2637950,2698510,0,0,107,0,99,0,99,99,0
2026-08-29T12:07:20.048,repl-interleaved,27.001,normal,max,6711,0,0.00,4878135296,2107482112,0,0,457834,460042,0,0,0,2298884,0,0,0,442980,1125069,1125069,0,2637950,2698510,0,0,107,0,99,0,99,99,0
