readratio,writeratio,run,benchmark,tag,ts_start,ts_end,read_bw_gb,write_bw_gb,read_bw_wall_gb,write_bw_wall_gb,wall_s,read_bw_std,write_bw_std,read_bw_std_pct,write_bw_std_pct
60,40,3,readwrite_random,interleaved,1788214345.293156,1788214395.85083,45.136269805,31.089804708,45.02222869787234,31.0122869106383,30.08,0.081785925875,0.076227748677,0.1852624795715294,0.2507513577075475
60,40,4,readwrite_random,interleaved,1788214399.3031085,1788214449.9032295,46.228979423,31.537692686,46.11064061276596,31.456961225531916,30.08,0.065200755532,0.088178452358,0.1442670528192031,0.2859032343366747
60,40,5,readwrite_random,interleaved,1788214453.141215,1788214503.7044888,44.574381362,32.002241032,44.45436657465763,31.917140005850285,30.084,0.059781049412,0.080241180976,0.1371888978921319,0.2564450228906257
60,40,1,readwrite_random,numabalancing,1788214507.098705,1788214557.7210097,45.550559985,31.208796887,45.42187325662246,31.120627653936918,30.087,0.086834164546,0.05930952412,0.19511128000039177,0.1942819180186686
60,40,2,readwrite_random,numabalancing,1788214560.9347754,1788214611.4739614,42.977812409,29.534625162,42.879203389086555,29.468824614238684,30.073,0.06892064753800001,0.048364897323,0.16401554589127693,0.16750696697802311
60,40,3,readwrite_random,numabalancing,1788214614.9850059,1788214665.5352414,45.731641916,30.571987446,45.61609654468086,30.495760748936174,30.08,0.07782752204,0.059381535064000006,0.17411537379466685,0.198726638234049
60,40,4,readwrite_random,numabalancing,1788214668.8808973,1788214719.431749,44.153917608,29.645838573,44.02917244485808,29.564052872432363,30.086,0.075701710587,0.074210767901,0.17544587620824453,0.25617501076094346
60,40,5,readwrite_random,numabalancing,1788214722.836346,1788214773.378288,45.420158728,30.313688239,45.30840544540498,30.2411192296848,30.076,0.079425229703,0.060786829369999996,0.178889644176239,0.20515924228133486
60,40,1,readwrite_random,repl,1788256795.691049,1788256846.5440269,54.59122915,1.433108922,54.47140005853399,1.4299632129839033,30.068,0.117132142459,0.00234959861,0.21939895038573928,0.16767435789042529
60,40,2,readwrite_random,repl,1788256849.2964027,1788256900.158278,56.823435959,1.403845499,56.66101313550703,1.3998794386944529,30.087,0.10950921482999999,0.001992896074,0.19718127241814742,0.14519626779196723
60,40,3,readwrite_random,repl,1788256902.9113882,1788256953.7523167,55.981134496,1.40997592,55.88614072280818,1.4075833473298953,30.055,0.109012336219,0.002526311995,0.19894053498993752,0.1832597314939964
60,40,4,readwrite_random,repl,1788256956.5502148,1788257007.396669,58.311823145,1.373526835,58.195440024482735,1.3708311367174506,30.062,0.099564988794,0.00260404722,0.1746506107082417,0.19390770591709094
60,40,5,readwrite_random,repl,1788257010.185002,1788257061.0493786,56.304360193,1.406714556,56.16022522450879,1.4031134715914757,30.079,0.096914407935,0.0013665508999999999,0.17604488570256502,0.09936485455990232
60,40,1,readwrite_random,unrepl-bound,1788257063.8704674,1788257114.566187,27.23620722,20.689781573,27.15475111314924,20.62859157731034,30.093,0.050722026662,0.045371037651,0.19049425129235714,0.22435815218068184
60,40,2,readwrite_random,unrepl-bound,1788257117.6523428,1788257168.3567104,28.276524279,20.151085357,28.1900919502957,20.088150875672802,30.098,0.0546438747,0.048851128354000004,0.1977140386001251,0.24788807940499452
60,40,3,readwrite_random,unrepl-bound,1788257171.4181278,1788257222.1802723,28.761670919,19.907374422,28.65756232431176,19.83597680523362,30.113,0.062715867729,0.04588773968,0.22305013054553213,0.23564407805960003
60,40,4,readwrite_random,unrepl-bound,1788257227.0411057,1788257277.7877476,27.981303569,20.291940589,27.875384171071858,20.215802015672732,30.116,0.063453633182,0.037676797465,0.23204484563136415,0.18990708933637657
60,40,5,readwrite_random,unrepl-bound,1788257280.860102,1788257331.537013,27.865190799,20.354023324,27.782776802871197,20.293824331782535,30.092,0.051995619636,0.054226173482,0.19095143999390146,0.27251959446867685
60,40,1,readwrite_random,unrepl-firsttouch,1788257334.7651389,1788257385.4623384,44.193326725,29.767915974,44.069939121717745,29.685793491191916,30.086,0.09300088031999999,0.056301161569999994,0.21533321596273075,0.1933794542575914
60,40,2,readwrite_random,unrepl-firsttouch,1788257388.6372766,1788257439.3306046,45.240668125,29.871149699,45.12185911043149,29.792703425570107,30.082,0.082668960166,0.053641067466,0.18694950504663294,0.1836932733779103
60,40,3,readwrite_random,unrepl-firsttouch,1788257442.548751,1788257493.220835,38.882550494,26.861983975,38.79591206677974,26.80302322045961,30.069,0.064844468435,0.062218425157,0.1705709410453032,0.2369205517042251
