kernel,run,benchmark,tag,pgt_tag,readratio,writeratio,ts_start,ts_end,read_bw_gb,write_bw_gb,read_bw_wall_gb,write_bw_wall_gb,wall_s,read_bw_std,write_bw_std,read_bw_std_pct,write_bw_std_pct
hydra,5,pgtable_1G,hydra-interleave,interleave,100,0,1787926147.4725616,1787926198.2055492,102.335949098,0.0,101.47356750508922,0.0,30.26,0.001593574841,0.0,0.001593520305252361,0
hydra,1,pgtable_1G,hydra-repl,repl,100,0,1787926198.3584008,1787926249.1098483,103.253915108,0.0,102.37356117276933,0.0,30.26,0.001760524191,0.0,0.001743317086696844,0
hydra,2,pgtable_1G,hydra-repl,repl,100,0,1787926249.265045,1787926300.0117311,103.081515532,0.0,102.20266053758965,0.0,30.261,0.001948757372,0.0,0.001934534818253913,0
hydra,3,pgtable_1G,hydra-repl,repl,100,0,1787926300.166387,1787926350.9114542,102.590266462,0.0,101.72235145221414,0.0,30.26,0.001741378471,0.0,0.0017355223171653517,0
hydra,4,pgtable_1G,hydra-repl,repl,100,0,1787926351.0625756,1787926401.812324,103.208503,0.0,102.32518391117574,0.0,30.262,0.001444286079,0.0,0.001432153521023608,0
hydra,5,pgtable_1G,hydra-repl,repl,100,0,1787926401.9936514,1787926452.739279,102.8878225,0.0,102.02073297957566,0.0,30.258,0.001736805662,0.0,0.0017259952712153366,0
spare,1,pgtable_1G,spare-interleave,interleave,100,0,1787922500.195231,1787922554.6346784,102.39946759,0.0,102.17471318922514,0.0,30.07,0.0017933598850000002,0.0,0.0017922345269671637,0
spare,2,pgtable_1G,spare-interleave,interleave,100,0,1787922554.8161597,1787922605.3509595,102.26252747,0.0,102.04145239578274,0.0,30.067,0.0029841976060000002,0.0,0.0029860263320332482,0
spare,3,pgtable_1G,spare-interleave,interleave,100,0,1787922605.5242045,1787922656.075288,102.336202168,0.0,102.0572735138441,0.0,30.085,0.001647943026,0.0,0.0016479419411514486,0
spare,4,pgtable_1G,spare-interleave,interleave,100,0,1787922656.247606,1787922706.790702,102.489021207,0.0,102.243660957473,0.0,30.075,0.004316514757,0.0,0.004309633666456807,0
spare,5,pgtable_1G,spare-interleave,interleave,100,0,1787922706.9621327,1787922757.5048823,102.290674493,0.0,102.04239615693577,0.0,30.076,0.00227913073,0.0,0.0022799971799384797,0
spare,1,pgtable_1G,spare-repl-pt,repl-pt,100,0,1787922757.679038,1787922808.234136,103.432748963,0.0,103.24350075316036,0.0,30.06,0.00230406409,0.0,0.002279000825546167,0
spare,2,pgtable_1G,spare-repl-pt,repl-pt,100,0,1787922808.4127455,1787922858.9695463,103.701831999,0.0,103.48797111655136,0.0,30.064,0.0022835796730000003,0.0,0.0022532560376244256,0
spare,3,pgtable_1G,spare-repl-pt,repl-pt,100,0,1787922859.1510248,1787922909.7101967,103.469765629,0.0,103.2529561024413,0.0,30.066,0.0025529011569999996,0.0,0.002524334876065436,0
spare,4,pgtable_1G,spare-repl-pt,repl-pt,100,0,1787922909.8888197,1787922960.4453514,103.739117185,0.0,103.52863002022353,0.0,30.064,0.002001287249,0.0,0.0019736491599923823,0
spare,5,pgtable_1G,spare-repl-pt,repl-pt,100,0,1787922960.6466827,1787923011.2116268,103.581204922,0.0,103.34353064680256,0.0,30.071,0.0023212832,0.0,0.0022933193631335777,0
spare,1,pgtable_1G,spare-repl,repl,100,0,1787923011.416181,1787923062.1511536,161.353189411,0.0,160.99901519010243,0.0,30.068,0.005533619883,0.0,0.0035076919313045156,0
spare,2,pgtable_1G,spare-repl,repl,100,0,1787923062.3167717,1787923113.0274408,162.515990628,0.0,162.278006683396,0.0,30.047,0.003256924305,0.0,0.002049196759305776,0
spare,3,pgtable_1G,spare-repl,repl,100,0,1787923113.1973817,1787923163.9193728,161.023572679,0.0,160.7342702794783,0.0,30.056,0.003317460854,0.0,0.0021064122709120903,0
spare,4,pgtable_1G,spare-repl,repl,100,0,1787923164.085709,1787923214.8401945,161.406816954,0.0,160.94548602771778,0.0,30.089,0.002956977381,0.0,0.0018737019951339297,0
spare,5,pgtable_1G,spare-repl,repl,100,0,1787923215.006881,1787923265.7187676,161.591645763,0.0,161.36038566997271,0.0,30.046,0.0030872267849999997,0.0,0.0019534941297519397,0
