tag,readratio,writeratio,benchmark,read_bw_gb,write_bw_gb,read_bw_std,write_bw_std,read_bw_wall_gb,write_bw_wall_gb,read_bw_wall_std,write_bw_wall_std,wall_s,nb_runs
numabalancing,80,20,readwrite_random,67.6564930772,16.6711554918,1.324504528131811,0.38850701335559557,67.50693007966524,16.634115929820144,1.3393329841217605,0.39323192394467915,30.0704,5
repl,80,20,readwrite_random,103.0121730616,0.8684848922,1.0434566437051451,0.012857908812783942,102.81612770547979,0.8668308561334486,1.0378786381162148,0.01271232759586142,30.0596,5
unrepl-bound,80,20,readwrite_random,51.1745492226,8.1126137092,6.481606480660885,2.166074549339446,51.00459701141101,8.083468640119802,6.501696830967095,2.151444425805382,30.105399999999996,5
unrepl-firsttouch,80,20,readwrite_random,67.3257037742,13.1800235186,5.096858564060939,2.7098686980332736,67.15470298979582,13.146327591380995,5.091310828149228,2.702187209942468,30.079200000000004,5
unrepl-interleaved,80,20,readwrite_random,70.5848502088,15.3490656044,0.49509106766530103,0.8508312460413975,70.4252524493157,15.314108056969658,0.49675888885350855,0.847915862777208,30.071199999999997,5
default,70,30,readwrite_random,52.1827170916,21.7821775214,4.621414222445836,1.798069861857047,52.034902681795856,21.72077588028845,4.607715625401699,1.7928030591226358,30.0876,5
interleaved,70,30,readwrite_random,58.0693411344,24.1785378558,0.5149212999812087,0.2918111136241895,57.92374582791662,24.118504874128483,0.5092940565911797,0.28418033728308667,30.0784,5
numabalancing,70,30,readwrite_random,53.8295120452,22.727182866,4.164193924337772,1.569528512131181,53.68852957981168,22.667238211658123,4.1478696429093045,1.5634034842531734,30.081400000000002,5
repl,70,30,readwrite_random,80.511133958,1.1499082006,1.086553017976277,0.011743108659225128,80.34135813028668,1.1474986763452921,1.084363594783626,0.011721422231413701,30.0654,5
unrepl-bound,70,30,readwrite_random,36.0123455728,15.4249413602,0.44117055906783087,0.2310234463761831,35.90378659526211,15.378240186114677,0.44869891884848917,0.22504102170844745,30.0952,5
unrepl-firsttouch,70,30,readwrite_random,54.212488895599996,22.4037190066,1.1166495378089463,0.38142268818848735,54.065171741602946,22.343275310328828,1.1189423698765535,0.38227775329657293,30.083800000000004,5
unrepl-interleaved,70,30,readwrite_random,58.077179400199995,23.1650957932,0.7876393026635435,0.4083416716550336,57.913795222008034,23.100219001619557,0.8107311388898567,0.42430961235206044,30.087400000000002,5
default,60,40,readwrite_random,43.6215882304,29.734175568,2.5444320416898574,1.874251007216577,43.48170575727485,29.638600358171033,2.544452934836395,1.860608571142561,30.099400000000003,5
interleaved,60,40,readwrite_random,45.433494809,31.115670895599997,0.6216979376284888,0.8822486358753167,45.31691409549679,31.03582962598827,0.6219452042693444,0.8805487012984932,30.0808,5
numabalancing,60,40,readwrite_random,44.7668181292,30.254987261399997,1.1777286073140754,0.6898679950770038,44.65095021613059,30.178077023845788,1.1708727049048446,0.684354366947783,30.080399999999997,5
repl,60,40,readwrite_random,56.402396588600006,1.4054343464,1.350054100942001,0.021264763588069016,56.27484383316814,1.4022741214634356,1.3467046300026428,0.021154042004234437,30.0702,5
unrepl-bound,60,40,readwrite_random,28.0241793572,20.278841053,0.5602650147787824,0.2867948127585908,27.93211327233995,20.212469121134404,0.5528654501486573,0.29025384024439915,30.1024,5
unrepl-firsttouch,60,40,readwrite_random,42.273763567399996,28.389790091,2.622320687686234,1.3837369049584878,42.167367595567846,28.318984358493225,2.6073493200133386,1.3750166444579084,30.077800000000003,5
unrepl-interleaved,60,40,readwrite_random,46.0548735196,30.098611132400002,0.6460522793123549,1.211663252024536,45.918666218166706,30.009884687780573,0.6443370802019108,1.2045631942086066,30.092200000000002,5
default,50,50,readwrite_random,36.0609880954,35.497366740400004,1.3800176140790783,1.2486375188833885,35.96907190930024,35.40768059138607,1.3738596667593015,1.245784009874236,30.079,5
interleaved,50,50,readwrite_random,37.1700181332,36.8372971474,0.6254337196244271,0.4385860615889922,37.07203734127455,36.740525324311406,0.6330037215145478,0.4338450667412912,30.082,5
numabalancing,50,50,readwrite_random,35.6031568254,35.742994835000005,2.5329809854264527,2.1097350674832596,35.5090994695254,35.64965159723016,2.521233739177987,2.1005905093387,30.082,5
repl,50,50,readwrite_random,35.660194771600004,1.6142215046000001,1.5472350333983005,0.02524160350985354,35.58180988940825,1.610694790095902,1.5476606424457153,0.025590236127669263,30.068599999999996,5
unrepl-bound,50,50,readwrite_random,23.1026048594,23.3155227996,0.22063685923486273,0.0849349604912378,23.014631902713358,23.227122909153103,0.2107735228818228,0.08675375909476532,30.117,5
unrepl-firsttouch,50,50,readwrite_random,35.0953183008,34.8137325668,2.167466937411505,1.5931689455527975,35.00047844147649,34.72059622679133,2.1594858449772105,1.5864101629014336,30.0836,5
unrepl-interleaved,50,50,readwrite_random,37.323869332,36.25510822139999,0.19181471913581946,0.5772655560841914,37.2238198620631,36.15888759936405,0.17820963801356074,0.5906599615126724,30.0828,5
default,40,60,readwrite_random,27.7156148348,39.4940483632,1.9323244484298754,1.5116253922015483,27.637617289008013,39.38367422865102,1.9290248512878352,1.5038567846530773,30.087,5
interleaved,40,60,readwrite_random,29.0970540546,41.2658875494,0.8126942153410315,0.8144644571781002,29.01533969726062,41.15074481966187,0.8149382273460365,0.8160805529649452,30.087400000000002,5
numabalancing,40,60,readwrite_random,27.040015869,39.7089103828,1.7958486616869025,2.3921422493362456,26.96758765644479,39.604227437952986,1.8046331203883208,2.4036170062842563,30.083199999999998,5
repl,40,60,readwrite_random,17.4519388454,1.8447802856,0.4916932186379946,0.010109340858883495,17.418781029897772,1.8412808859421275,0.4929440759080703,0.009782034787421847,30.059800000000003,5
unrepl-bound,40,60,readwrite_random,17.8335311964,26.195790518000003,0.3981044449679192,0.08883409056084955,17.762479595170124,26.09159157267718,0.39575190354067835,0.0803272628516322,30.1226,5
unrepl-firsttouch,40,60,readwrite_random,27.3645739636,39.5732423642,0.6724253795456469,2.351663867335353,27.29217444871162,39.46904020386522,0.6711578409892749,2.344948319067577,30.081799999999998,5
unrepl-interleaved,40,60,readwrite_random,28.9091374434,40.302901412400004,0.4441780986567693,0.8158536933441944,28.830683014459577,40.194810550152475,0.43959840536794026,0.806695099312135,30.083800000000004,5
