label,dataset,readratio,writeratio,run,benchmark,tag,ts_start,ts_end,read_bw_gb,write_bw_gb,read_bw_wall_gb,write_bw_wall_gb,wall_s,read_bw_std,write_bw_std,read_bw_std_pct,write_bw_std_pct,start_time,end_time,samples,local_pct,local_pct_skt0,local_pct_skt1,local_pct_skt2,local_pct_skt3,ipc,inst,inst_skt0,inst_skt1,inst_skt2,inst_skt3,afreq,freq,cpu_balance,l3hit,l2miss,l3miss,l3mpi,upi_in_gb,upi_out_gb,upi_out_pct,upi_in_pct,mem_bw_gb,mem_read_gb,mem_write_gb,mem_read_gb_skt0,mem_read_gb_skt1,mem_read_gb_skt2,mem_read_gb_skt3,mem_write_gb_skt0,mem_write_gb_skt1,mem_write_gb_skt2,mem_write_gb_skt3,data_mem_gb,data_mem_gb_node0,data_mem_gb_node1,data_mem_gb_node2,data_mem_gb_node3,pagetable_mb,pagetable_mb_node0,pagetable_mb_node1,pagetable_mb_node2,pagetable_mb_node3,tma_l3_bound,tma_dram_bound,tma_l1_bound,tma_store_bound,warmup_s
fio-repl,details,95,5,2,readwrite_random,unrepl-firsttouch,1788251922.8982923,1788251974.3502307,246.170474486,0.099671062,245.30387854857028,0.0993069493540566,30.111,0.0796038211869999,0.0006780962919999,0.0330820548080214,0.6960012182562378,2026-09-01 10:38:42.898292303,2026-09-01 10:39:34.350230694,51,79.98039215686275,71.03921568627452,79.3529411764706,85.54901960784314,78.33333333333333,0.48882352941176477,22212.36372549019,4323.3,5745.03431372549,6265.814509803921,5878.215098039215,0.9866666666666667,0.16352941176470587,0.6899821233513168,0.10058823529411764,353.50647058823523,331.89411764705886,0.013852941176470583,38.86089365042892,85.48496017156863,30.81862745098039,13.800653594771243,247.74870098039216,233.59387695312498,14.154823069852942,27.20812729779412,67.53546434589461,68.65343539368872,70.19684780943629,6.214393765318627,2.8232599954044115,2.2742943857230395,2.8428753063725485,3.5193028917499616,0.5290107727050781,1.019150453455308,1.029798470291437,0.9413523206523821,17.99417892156863,6.604090073529412,4.122089460784314,2.9346660539215685,4.333333333333333,5.614000000000001,37.062000000000005,13.837999999999997,2.6679999999999997,0.0
fio-repl,details,95,5,3,readwrite_random,unrepl-firsttouch,1788251976.886985,1788252028.286748,232.334358286,0.104727738,231.76273403863416,0.1044665890880074,30.077,0.06167265954,0.000525225092,0.0271608103172052,0.5133935461583884,2026-09-01 10:39:36.886985064,2026-09-01 10:40:28.286747932,51,79.0,58.90196078431372,83.13725490196079,75.94117647058823,85.11764705882354,0.46450980392156865,21113.432941176467,3393.8780392156864,5890.897843137254,5659.162941176472,6169.495686274509,0.9880392156862745,0.16470588235294117,0.5501062342528522,0.103921568627451,336.82294117647064,315.1250980392157,0.013858823529411762,38.908578814338235,85.30026865042893,30.792483660130724,13.781045751633988,236.58082356770836,222.3343089384191,14.246517118566176,17.353882697610295,66.32549364276962,70.84688687193628,67.80804457720588,5.796150428921569,2.6022386259191173,3.5247221583946082,2.323406671262255,3.371450162401386,0.3585199094286152,1.019719815721699,1.0558515810499005,0.9372646107393152,18.064721200980394,6.625536151960785,3.1279105392156863,3.982613357843137,4.328661151960785,6.432,37.786,13.581999999999999,2.552,0.0
fio-repl,details,95,5,4,readwrite_random,unrepl-firsttouch,1788252030.9910462,1788252082.5133555,248.798541096,0.103190884,247.47882996525655,0.1026366837289484,30.164,0.069089035345,0.0006532065239999,0.0284142206686269,0.6471561623212574,2026-09-01 10:40:30.991046190,2026-09-01 10:41:22.513355494,51,80.37254901960785,72.72549019607843,81.15686274509804,80.82352941176471,81.0,0.4943137254901961,22514.57862745098,4702.457254901961,5854.164705882354,5975.696666666668,5982.260980392157,0.987843137254902,0.16333333333333333,0.7860668851317315,0.09882352941176471,360.3658823529411,338.2754901960784,0.013949019607843133,39.98929132199755,87.51456054687502,31.58986928104575,14.169934640522877,251.68179457720586,236.79615368412988,14.88564031862745,31.89166953890931,66.28860983455883,69.59448242187501,69.02139093137254,6.907256050857843,2.558718596813726,2.7692288985906863,2.6504367723651963,3.5825235703412224,0.5833510604559207,1.012536740770527,1.0442687389897365,0.9424054014916514,18.051776960784313,6.619178921568627,4.148054534313726,2.9394914215686274,4.345052083333333,5.21,36.544000000000004,13.377999999999997,2.924,0.0
fio-repl,details,95,5,5,readwrite_random,unrepl-firsttouch,1788252084.9313996,1788252136.421703,258.575822376,0.110695212,258.016860374206,0.110448560311284,30.069,0.067504742791,0.000899861893,0.0267101662970138,0.8319075918628512,2026-09-01 10:41:24.931399584,2026-09-01 10:42:16.421703100,51,83.17647058823529,78.86274509803921,82.80392156862744,80.72549019607843,85.98039215686275,0.517450980392157,23466.83745098039,5532.9047058823535,5883.791176470588,5924.832352941178,6125.309019607842,0.9870588235294119,0.16352941176470584,0.903285807813266,0.09803921568627452,381.2394117647059,357.80607843137255,0.014164705882352944,36.098599111519604,82.05839345894609,29.619281045751638,12.717320261437907,259.4459350107231,244.37030981924016,15.075623659620097,44.87193646599264,65.92515376072303,68.34657513786766,65.22664579503676,7.490293160232844,2.649574142156863,2.813550283394608,2.1222054993872552,3.725199755500345,0.7549502802830117,1.0109963510550706,1.0359410304649204,0.923293244604971,18.056525735294116,7.638020833333333,3.1365655637254903,2.9532781862745097,4.328661151960785,4.704081632653061,35.628571428571426,13.453061224489794,2.8183673469387753,0.0
fio-repl,details,95,5,1,readwrite_random,unrepl-interleaved,1788252138.8696792,1788252190.237789,232.057312533,0.106781891,231.57107810050888,0.1065474945954036,30.067,0.069536744791,0.0010383103479999,0.0306510042231636,0.9959356493556986,2026-09-01 10:42:18.869679213,2026-09-01 10:43:10.237788916,51,78.17647058823529,59.627450980392155,77.70588235294117,80.05882352941177,79.66666666666667,0.46568627450980393,20991.612156862746,3715.670784313726,5578.677843137255,5846.795882352942,5850.468039215685,0.9872549019607844,0.16254901960784313,0.635106586243628,0.10450980392156865,331.40156862745096,310.0805882352941,0.01372156862745098,42.53819182751225,91.77598154105391,33.1781045751634,15.096405228758167,236.33056640625,221.31552025888482,15.015047487745097,18.941624731924016,65.85135857077205,68.2115868183211,68.31094688265932,6.2995988434436265,3.024457146139706,2.8932764629289216,2.7977156096813722,3.3528357113108918,0.3582047107172947,1.0142392925187653,1.0430778054630054,0.9372667798808977,18.198988970588236,6.67172181372549,4.172257965686274,2.9745710784313726,4.380438112745098,5.812244897959184,38.3,12.618367346938777,2.759183673469388,0.0
fio-repl,details,95,5,2,readwrite_random,unrepl-interleaved,1788252192.8627005,1788252244.294491,235.681854114,0.096783342,235.04731098048865,0.0965131147083264,30.085,0.0724463148459999,0.000710197135,0.0314490621390778,0.7510796747146825,2026-09-01 10:43:12.862700462,2026-09-01 10:44:04.294491053,51,79.25490196078431,57.76470588235294,78.96078431372548,82.92156862745098,79.49019607843137,0.4709803921568627,21322.87901960784,3678.4298039215682,5696.320196078431,6026.104313725489,5922.023921568628,0.9886274509803922,0.16431372549019607,0.6104158860216394,0.10098039215686275,336.9052941176471,316.21274509803925,0.013790196078431368,42.35365310968137,90.45899184283087,32.70751633986928,15.032679738562093,241.32060451133583,226.3042244944853,15.016378484987747,19.659917853860293,66.36924747242647,70.70081112132353,69.57424957873775,6.881517693014706,2.634601141237745,2.7953052236519604,2.70495481004902,3.306203915522649,0.35635522695688104,0.9978791016798753,1.0350604424109826,0.9168534645667443,17.982872596153847,7.6278545673076925,3.088641826923077,2.9604116586538463,4.305964543269231,5.7877551020408164,38.68571428571429,12.306122448979592,3.0061224489795917,0.0
fio-repl,details,95,5,3,readwrite_random,unrepl-interleaved,1788252246.7964094,1788252298.1996963,233.343926245,0.105793992,232.8085201894121,0.1055477307794626,30.072,0.07534862728,0.000709761131,0.0330354716425059,0.6859820852212032,2026-09-01 10:44:06.796409369,2026-09-01 10:44:58.199696302,52,77.8076923076923,61.13461538461539,76.26923076923077,78.38461538461539,81.1923076923077,0.4753846153846154,20777.97519230769,3619.1888461538456,5514.28423076923,5828.27923076923,5816.222692307692,0.9853846153846154,0.15999999999999998,0.6209703932932837,0.11288461538461539,329.58788461538467,308.5998076923077,0.013605769230769227,41.26950646033653,89.13303560697116,32.2099358974359,14.637820512820511,238.17812557444853,222.99966624540443,15.178459137561276,18.51203852634804,65.68980545343138,69.53120576746325,69.26661764705882,6.4706753599877445,2.8225953584558825,2.9316957720588235,2.953489774816177,3.3694448284074374,0.359102959726371,1.0109020307952283,1.0405936895632277,0.9588649974149817,18.067861519607842,6.669577205882353,3.1060049019607843,2.930376838235294,5.361902573529412,5.844897959183673,38.43469387755101,12.483673469387757,2.673469387755102,0.0
fio-repl,details,95,5,4,readwrite_random,unrepl-interleaved,1788252300.7623944,1788252352.124617,234.098655509,0.101395148,233.60814380896,0.1011725759137925,30.067,0.074999226672,0.000917661871,0.0327783946078705,0.9252808531043548,2026-09-01 10:45:00.762394428,2026-09-01 10:45:52.124617100,52,77.36538461538461,60.21153846153846,77.82692307692308,79.40384615384616,78.32692307692308,0.4732692307692308,20808.006346153845,3648.3546153846155,5600.284423076924,5784.087692307691,5775.280576923077,0.9848076923076923,0.16076923076923075,0.6307571408774791,0.11192307692307694,327.19692307692304,306.5446153846154,0.013498076923076922,41.54921105018028,89.62735032301686,32.43589743589744,14.743589743589746,238.89362802542897,224.11054706648287,14.783080193014706,18.80989621629902,67.35576516544117,68.97032284007354,68.97456150428921,6.215873161764706,2.9998833869485293,2.801948337928921,2.7653754978553917,3.3716296775668275,0.3589296527937347,1.0245570762484681,1.0477003957711013,0.9404331282073376,18.141314338235293,6.665058210784314,4.157475490196078,2.967218137254902,4.3515625,5.976,37.968,13.22,2.72,0.0
fio-repl,details,95,5,5,readwrite_random,unrepl-interleaved,1788252354.7464108,1788252406.109053,235.266479811,0.096877594,234.75788857895435,0.0966649461221231,30.068,0.076370116286,0.0006449933099999,0.0332118951298439,0.6810329991677307,2026-09-01 10:45:54.746410847,2026-09-01 10:46:46.109052896,52,77.51923076923077,59.48076923076923,78.34615384615384,79.09615384615384,78.57692307692308,0.46480769230769237,20856.283653846152,3636.455,5613.679423076922,5806.833461538462,5799.316923076922,0.9880769230769231,0.16096153846153843,0.6262371779879766,0.10692307692307693,329.72,309.2348076923077,0.013636538461538459,41.713644831730775,89.11394230769231,32.21153846153847,14.80448717948718,240.27879653033088,225.3852464384191,14.893548560049021,19.234378255208334,67.36099015778187,69.50126914828431,69.28860811121322,6.596636603860293,2.8537452129289216,2.7620348881740187,2.681131089154412,3.370768229166667,0.3589053434484145,1.0254513609643077,1.0452886843213847,0.9410945667940027,18.19201899509804,6.693321078431373,4.174862132352941,2.9667585784313726,4.357077205882353,5.872000000000001,38.244,12.471999999999998,2.96,0.0
fio-repl,details,90,10,1,readwrite_random,repl,1788252408.7034383,1788252460.2553053,231.16920966,0.271312421,230.63881111482056,0.2706718739068267,30.073,0.07335755331,0.000538710308,0.0324707979281154,0.2031703342588327,2026-09-01 10:46:48.703438282,2026-09-01 10:47:40.255305290,52,87.76923076923077,85.71153846153847,87.96153846153847,89.53846153846153,88.53846153846153,0.47673076923076924,21781.614230769235,5355.149038461538,5389.218846153846,5606.1461538461535,5431.10076923077,0.9932692307692308,0.16153846153846146,0.9552282247917464,0.1336538461538462,352.0500000000001,316.8740384615384,0.01331346153846154,19.404993802584134,61.59191068209135,22.086538461538463,6.61698717948718,232.14685171274036,215.84687274639424,16.299978778545672,54.68184457632211,52.90803617037258,55.17500807542066,53.08198110727164,5.642389573317307,3.6883458533653846,3.5813989257812504,3.387844801682692,4.051130855784697,1.071413601146025,1.008557113946653,1.0420185163909315,0.9291579302619485,18.17401960784314,7.7198223039215685,3.128063725490196,2.981081495098039,4.347732843137255,5.03,30.403999999999996,18.445999999999998,1.16,0.0
fio-repl,details,90,10,2,readwrite_random,repl,1788252462.9239051,1788252514.485304,233.841356704,0.271808686,233.211768873525,0.2710588075120492,30.085,0.081164805502,0.000825369564,0.0354999451926966,0.310575564110077,2026-09-01 10:47:42.923905134,2026-09-01 10:48:34.485304117,52,88.32692307692308,86.78846153846153,87.92307692307692,88.28846153846153,89.96153846153847,0.4948076923076924,22042.337884615386,5304.321538461537,5449.58,5629.320384615384,5659.115192307692,0.9882692307692308,0.16153846153846152,0.9373058081008108,0.1338461538461539,357.71115384615393,322.0536538461538,0.013400000000000002,19.050088829627406,60.680942570612984,21.73076923076923,6.466346153846153,239.3040536917892,222.92593673406864,16.378117340686273,54.354259727328426,54.753650428921574,57.014109987745094,56.803915058210784,5.508349609374998,3.6725628063725493,3.689595588235294,3.5076091452205884,4.062391393324908,1.071697983087278,1.008918463015089,1.0393436656278723,0.9424568625057445,18.218367034313726,6.708333333333333,3.1340379901960786,4.003216911764706,4.373008578431373,5.17,30.215999999999998,18.784,1.114,0.0
fio-repl,details,90,10,3,readwrite_random,repl,1788252517.1174204,1788252568.6811783,231.01823947,0.280230593,230.3502682245339,0.2794203287580179,30.089,0.076171949864,0.00052927694,0.0337357395977118,0.1933312163528711,2026-09-01 10:48:37.117420435,2026-09-01 10:49:28.681178331,51,89.19607843137256,84.6470588235294,88.13725490196079,92.47058823529412,91.29411764705883,0.48843137254901964,22336.667450980392,5459.665098039218,5603.932549019608,5895.766078431373,5377.30294117647,0.9923529411764705,0.16470588235294115,0.9120617863127899,0.12843137254901965,361.58803921568625,324.9025490196079,0.013543137254901963,19.863203316482842,63.74440123314951,22.897058823529417,6.75326797385621,238.5454545802696,221.52822150735298,17.01723249846814,55.53295534620098,55.37039694393381,58.55658394607843,52.06828680300245,5.786544500612746,3.836848958333333,3.8024540441176473,3.5913842294730394,4.090582604501762,1.072830125397327,1.0095715242273666,1.06268871531767,0.945435692282284,18.212469362745097,6.729319852941177,3.094515931372549,4.034620098039215,4.354013480392157,5.426,30.432000000000002,19.447999999999997,1.172,0.0
fio-repl,details,90,10,4,readwrite_random,repl,1788252571.3868582,1788252622.9836304,233.2015369,0.277040158,232.59684557082545,0.2763125842890861,30.081,0.077153213562,0.000944415714,0.0338478629280652,0.3488913295558802,2026-09-01 10:49:31.386858225,2026-09-01 10:50:22.983630419,51,88.94117647058823,86.7843137254902,89.23529411764706,90.80392156862744,90.45098039215686,0.486078431372549,22422.04039215687,5642.593333333333,5448.963921568627,5621.5215686274505,5708.961568627451,0.9919607843137256,0.16431372549019607,0.9544579791029609,0.13019607843137257,364.03274509803924,327.66568627450977,0.013574509803921568,19.41465130974265,61.738139744178916,22.155228758169937,6.59967320261438,234.62312068058887,218.07673922025242,16.546381272536056,56.651788611778855,52.40223200871394,54.016939978966334,55.00577899639423,5.591645132211539,3.652990347055289,3.7129546649639424,3.5887909405048077,4.066116856593712,1.0744341681985294,1.0064600776223576,1.0426281199735754,0.9425944907992494,18.20266544117647,7.732766544117647,3.147518382352941,2.9629289215686274,4.359451593137255,4.964,30.452,18.448,1.068,0.0
fio-repl,details,90,10,5,readwrite_random,repl,1788252625.481294,1788252677.0615222,234.784210112,0.275263842,234.21434552467085,0.2745865737465088,30.076,0.077195441091,0.0006898570419999,0.033638643368193,0.2564171465411292,2026-09-01 10:50:25.481293917,2026-09-01 10:51:17.061522245,51,90.82352941176471,87.54901960784314,88.98039215686275,89.7843137254902,91.76470588235294,0.4898039215686275,22516.450980392157,5629.168823529412,5599.940784313725,5765.346666666666,5521.994901960784,0.9901960784313726,0.16431372549019607,0.9577906102138034,0.13352941176470592,365.7184313725491,329.31549019607843,0.013541176470588237,19.403327971813727,61.88200003829657,22.223856209150327,6.68627450980392,235.65641639122592,219.08952524038463,16.56689171424279,56.34005108173076,54.24430269681491,55.87315335787259,52.63201829176683,5.601546349158653,3.7818120868389427,3.666675743689903,3.5168573467548074,4.056125192081227,1.074526169720818,1.0091748705097272,1.0397608887915517,0.9326726876053156,18.181142769607842,7.731158088235294,3.1364123774509802,2.9598651960784315,4.353707107843137,5.151999999999999,30.535999999999998,18.523999999999997,1.0979999999999999,0.0
fio-repl,details,90,10,1,readwrite_random,unrepl-bound,1788252679.5304978,1788252730.9434705,177.251527489,0.2976018,176.55127744718146,0.2964162145939845,30.122,0.293513255185,0.001490578653,0.1687808069081296,0.5121008587791621,2026-09-01 10:51:19.530497789,2026-09-01 10:52:10.943470478,51,79.45098039215686,66.56862745098039,87.37254901960785,89.74509803921569,87.74509803921569,0.41196078431372546,18773.62254901961,4684.117254901961,4715.02294117647,4753.951960784314,4620.529607843137,0.9917647058823529,0.16392156862745097,0.97193443391061,0.13980392156862748,301.3219607843137,270.12470588235294,0.013158823529411763,34.13615636488971,81.54114679074755,29.424836601307188,12.086601307189541,200.1415978064904,184.07866154597357,16.062936072716344,63.10680081881009,40.80995135967549,40.80333589993991,39.35857647235577,5.904358097956731,3.4719546274038455,3.3733492337740385,3.3132746769831725,3.611037759219899,1.0732443566415824,0.8594931808172488,0.8968751196767769,0.7814816493614047,18.16390931372549,7.7567401960784315,3.1224724264705883,2.9659926470588234,4.318704044117647,6.844897959183673,35.173469387755105,16.900000000000002,1.3081632653061224,0.0
