label,dataset,streams,tag,run_id,elapsed_s,start_time,end_time,phase,samples,local_pct,local_pct_skt0,local_pct_skt1,local_pct_skt2,local_pct_skt3,ipc,inst,inst_skt0,inst_skt1,inst_skt2,inst_skt3,afreq,freq,cpu_balance,l3hit,l2miss,l3miss,l3mpi,upi_in_gb,upi_out_gb,upi_out_pct,upi_in_pct,mem_bw_gb,mem_read_gb,mem_write_gb,mem_read_gb_skt0,mem_read_gb_skt1,mem_read_gb_skt2,mem_read_gb_skt3,mem_write_gb_skt0,mem_write_gb_skt1,mem_write_gb_skt2,mem_write_gb_skt3,data_mem_gb,data_mem_gb_node0,data_mem_gb_node1,data_mem_gb_node2,data_mem_gb_node3,pagetable_mb,pagetable_mb_node0,pagetable_mb_node1,pagetable_mb_node2,pagetable_mb_node3,warmup_s,sf
duckdb,tpch_sf30_s1_numa-balancing,1,numa-balancing,3,5.2298,2026-08-27T17:11:57.400912,2026-08-27T17:12:02.632807,warm,5,54.6,53.0,58.4,54.2,53.6,0.9739999999999999,108931.48599999999,26883.370000000003,26907.129999999997,27540.629999999997,27600.352000000003,0.994,0.418,0.9740227226087551,0.732,277.16,75.036,0.0006999999999999999,12.053876953125,38.47122265625,13.583333333333334,3.9499999999999997,35.6135078125,19.943037109375002,15.670470703125,4.842794921874999,4.771257812500001,5.157347656250001,5.171634765625001,3.8297421875000004,3.717455078125,4.1294531249999995,3.9938203125,9.134196472167968,2.193140411376953,2.166734313964844,2.443808746337891,2.3301406860351563,40.77734375,10.41953125,7.78828125,12.53359375,10.0328125,0.0,30.0
duckdb,tpch_sf30_s1_numa-balancing,1,numa-balancing,4,5.2814,2026-08-27T17:12:02.638026,2026-08-27T17:12:07.921738,warm,5,53.8,53.8,54.2,52.2,54.8,0.938,105906.09599999999,26207.58,25953.018000000004,26721.579999999998,27023.920000000002,0.9960000000000001,0.422,0.9603720703732102,0.7160000000000001,278.064,79.54,0.0008,12.201865234375001,38.14755859375,13.416666666666666,3.9333333333333322,33.794947916666665,19.290200195312497,14.504747721354166,4.4091748046875,4.681220703125,5.095891927083334,5.103912760416667,3.4006005859375,3.509620768229167,3.75439453125,3.8401350911458327,9.600409189860027,2.2904186248779297,2.2649784088134766,2.5336875915527344,2.5114796956380205,41.421875,10.559244791666666,7.926432291666667,12.770833333333334,10.165364583333334,0.0,30.0
duckdb,tpch_sf30_s1_numa-balancing,1,numa-balancing,5,5.1695,2026-08-27T17:12:07.923296,2026-08-27T17:12:13.094850,warm,5,53.4,52.8,55.8,51.4,53.0,0.9560000000000001,111194.5,27412.969999999994,27579.45,27410.866,28791.218,0.9960000000000001,0.43,0.9520564916704809,0.72,282.952,79.41799999999999,0.0008199999999999999,12.70212890625,39.720525390625006,14.033333333333333,4.2,35.124013671875005,19.514607421875002,15.609406250000001,4.54402734375,4.722162109375001,5.012175781249999,5.23623828125,3.7560078125000005,3.865548828125,3.9161152343750003,4.071732421875,9.264310455322265,2.2072853088378905,2.242620849609375,2.418282318115234,2.3966629028320314,41.0375,10.41015625,7.85078125,12.68203125,10.10234375,0.0,30.0
duckdb,tpch_sf30_s1_numa-balancing,1,numa-balancing,6,5.1377,2026-08-27T17:12:13.098269,2026-08-27T17:12:18.238483,warm,6,51.333333333333336,52.0,52.833333333333336,49.333333333333336,51.0,0.9433333333333334,114458.94833333335,28898.993333333336,28264.578333333335,28054.583333333332,29240.795,0.9966666666666667,0.45,0.9594329885125672,0.7433333333333335,269.635,72.395,0.0006833333333333334,12.535528971354166,39.42723958333333,13.930555555555555,4.083333333333333,34.886109375,19.593365234375,15.292744140625,5.09981640625,4.53406640625,4.693029296875,5.266457031250001,3.9381230468750004,3.593408203125,3.7483671875,4.01283984375,9.186058044433594,2.2162139892578123,2.231719207763672,2.418873596191406,2.3192512512207033,41.4578125,10.5671875,7.9703125,12.7640625,10.15625,0.0,30.0
duckdb,tpch_sf30_s1_numa-balancing,1,numa-balancing,7,5.2066,2026-08-27T17:12:18.241138,2026-08-27T17:12:23.449857,warm,5,53.6,54.2,53.4,55.0,51.2,0.9380000000000001,110897.468,27830.766000000003,26932.714,29046.656,27087.332000000002,0.9960000000000001,0.44000000000000006,0.9272225346697396,0.712,283.802,79.612,0.0007599999999999999,12.913697265625,40.374341796875,14.283333333333333,4.216666666666668,35.60289453125,19.904185546875,15.698710937500001,5.17602734375,4.707216796875,4.951121093749999,5.0698203125,4.1123984375,3.6410097656250002,3.9650996093749997,3.9802050781250005,9.153645324707032,2.2746353149414062,2.1478782653808595,2.4095809936523436,2.318309783935547,41.48046875,10.63828125,7.9125,12.728125,10.2015625,0.0,30.0
duckdb,tpch_sf30_s1_numa-balancing,1,numa-balancing,8,5.1928,2026-08-27T17:12:23.456466,2026-08-27T17:12:28.651321,warm,5,54.6,55.4,56.8,52.2,53.2,0.9719999999999999,111331.83,28195.483999999997,27348.9,27872.365999999998,27915.082000000002,0.9960000000000001,0.43,0.9699744824383935,0.74,282.18199999999996,75.42999999999999,0.00068,12.235705078125,38.868431640625,13.766666666666667,3.983333333333334,35.95208984375,20.145955078125,15.8061328125,5.375720703124999,4.776419921875,5.219533203125001,4.77428125,4.240640625,3.6845371093750003,4.197283203125001,3.6836718750000004,9.176039886474609,2.330670166015625,2.1345001220703126,2.4695838928222655,2.240436553955078,41.4234375,10.7,7.87734375,12.80234375,10.04375,0.0,30.0
duckdb,tpch_sf30_s1_numa-balancing,1,numa-balancing,9,5.1831,2026-08-27T17:12:28.653234,2026-08-27T17:12:33.838304,warm,5,53.6,54.0,53.2,54.6,52.6,0.946,107982.298,27599.298,26155.466,27597.499999999993,26630.032,0.9960000000000001,0.422,0.9476859157794522,0.7180000000000001,280.82399999999996,79.31199999999998,0.0008,12.460683593750002,38.821396484375,13.75,4.05,33.78903483072917,19.222869466145834,14.566163736979165,4.643894856770833,4.541456705729167,5.179275716145834,4.858245442708333,3.5131087239583336,3.4682210286458335,3.8750113932291668,3.7098209635416666,9.324112701416016,2.2423583984375,2.1638557434082033,2.53983154296875,2.37825927734375,41.73046875,10.5953125,7.928125,13.05625,10.15078125,0.0,30.0
duckdb,tpch_sf30_s1_numa-balancing,1,numa-balancing,10,5.1652,2026-08-27T17:12:33.843109,2026-08-27T17:12:39.010479,warm,5,53.6,55.0,55.8,52.0,51.2,0.9480000000000001,110893.432,27928.238,27706.248000000003,28096.188000000002,27162.760000000002,0.9960000000000001,0.43199999999999994,0.9667774147866608,0.7020000000000001,276.738,80.572,0.0008200000000000001,12.748548828125001,39.903701171875,14.066666666666665,4.133333333333333,36.13449609375,20.263695312499998,15.87080078125,5.2838378906250005,5.30786328125,4.77981640625,4.89218359375,4.12130078125,3.956103515625,3.9462050781249998,3.847189453125,9.584470748901367,2.3712291717529297,2.277920405069987,2.5128917694091797,2.423471450805664,41.867838541666664,10.796875,7.955729166666667,12.966145833333334,10.136067708333334,0.0,30.0
duckdb-repl,clickbench_s16_repl,16,repl,1,1639.7066,2026-08-27T15:05:50.920253,2026-08-27T15:07:52.064601,cold,121,77.66115702479338,78.29752066115702,79.25619834710744,75.27272727272727,78.20661157024793,0.9149586776859505,200367.5458677686,48799.06776859504,48850.05380165289,53592.1250413223,49126.29909090909,0.9986776859504133,0.8063636363636365,0.910564149694912,0.5115702479338843,405.6760330578513,210.75528925619838,0.001196694214876033,15.838942326317149,53.76305768982438,19.21900826446281,5.31404958677686,93.63743180204028,52.36580522017045,41.2716270661157,12.63690776730372,12.405719589359503,14.537155378357438,12.786021032412192,9.925859778538221,9.73609496061467,11.530174086389462,10.07949686854339,47.72680746031202,11.051542392446976,11.41771647555769,13.480192105632183,11.778479142622514,216.61502453512398,52.632973915289256,51.06582515495868,54.648372933884296,58.26840134297521,0.0,
duckdb-repl,clickbench_s16_repl,16,repl,2,1105.3918,2026-08-27T15:07:52.075990,2026-08-27T15:09:22.793992,warm,91,87.0989010989011,87.45054945054945,87.50549450549451,88.1978021978022,84.84615384615384,0.9957142857142856,262861.3035164835,65682.67747252747,65882.87637362638,65833.88956043957,65461.86164835165,1.0,0.9805494505494508,0.9936096486910024,0.45879120879120877,482.1370329670329,267.3835164835165,0.001264835164835165,14.134516225961539,50.59019863925137,18.066849816849818,4.6913919413919425,118.85608087225276,68.80500257554945,50.05107722355769,17.233038397149723,16.77204037173764,17.356363646119505,17.443560267857144,12.512699068509617,12.187346862122252,12.484386160714283,12.866644381009614,60.91916592915853,15.12319713168674,15.094060855441624,15.481312052408853,15.220680575900607,257.735546875,63.766015625,62.287890625,63.368793402777776,68.31158854166667,0.0,
duckdb-repl,clickbench_s16_repl,16,repl,3,1019.0804,2026-08-27T15:09:22.804749,2026-08-27T15:10:53.122777,warm,90,87.36666666666666,87.11111111111111,87.88888888888889,87.9888888888889,86.47777777777777,1.0005555555555554,265201.2523333333,66327.53244444444,66185.60644444443,66471.07777777777,66217.03555555556,1.0,0.9844444444444447,0.9957053301544514,0.4685555555555555,481.9941111111111,264.92533333333336,0.0012377777777777777,13.783305881076386,50.11658224826389,17.897222222222222,4.537962962962963,118.23369802517361,68.48360101996528,49.750096571180556,17.219132161458333,16.885262695312502,17.087923936631945,17.291281575520834,12.57479069010417,12.33096137152778,12.285556098090279,12.55878754340278,57.15242123074002,14.037315495808919,14.236889775594076,14.498036321004232,14.379917780558268,256.28585069444443,64.34375,62.43190104166667,61.67217881944445,67.83033854166666,0.0,
