label,dataset,runner_name,tag,run_id,recall,total_time,qps,start_time,end_time,warmup,samples,local_pct,local_pct_skt0,local_pct_skt1,local_pct_skt2,local_pct_skt3,ipc,inst,inst_skt0,inst_skt1,inst_skt2,inst_skt3,afreq,freq,cpu_balance,l3hit,l2miss,l3miss,l3mpi,upi_in_gb,upi_out_gb,upi_out_pct,upi_in_pct,mem_bw_gb,mem_read_gb,mem_write_gb,mem_read_gb_skt0,mem_read_gb_skt1,mem_read_gb_skt2,mem_read_gb_skt3,mem_write_gb_skt0,mem_write_gb_skt1,mem_write_gb_skt2,mem_write_gb_skt3,data_mem_gb,data_mem_gb_node0,data_mem_gb_node1,data_mem_gb_node2,data_mem_gb_node3,pagetable_mb,pagetable_mb_node0,pagetable_mb_node1,pagetable_mb_node2,pagetable_mb_node3,tma_l3_bound,tma_dram_bound,tma_l1_bound,tma_store_bound,warmup_s
locality,gist-960-euclidean,usearch,firsttouch,33,0.97813,0.6069513319999942,1647.57855741885,2026-09-04T20:32:31.043308,2026-09-04T20:32:31.650294,True,1,25.0,25.0,26.0,25.0,24.0,0.4,11103.16,2762.12,2819.93,2816.99,2704.13,1.0,0.1,0.9589351508725394,0.1,20.1,17.79,0.0016,89.731005859375,148.2056640625,53.833333333333336,32.25,,,,,,,,,,,,,,,,,,,,,,7.8,32.8,2.0,0.2,0.0
locality,gist-960-euclidean,usearch,firsttouch,34,0.97813,0.6113658180000812,1635.6818954504704,2026-09-04T20:32:31.695918,2026-09-04T20:32:32.307319,True,1,25.0,25.0,25.0,25.0,26.0,0.39,12315.22,3026.73,3088.8,3031.46,3168.23,1.0,0.12,0.9553378384776358,0.1,22.52,19.94,0.0016,101.326015625,165.84248046875,60.25,36.583333333333336,132.561298828125,122.283095703125,10.278203125,25.147880859375,32.46369140625,28.50009765625,36.171435546875,2.1822265625,2.559501953125,2.41263671875,3.123837890625,2.5605697631835938,0.4594001770019531,0.5199432373046875,0.5280189514160156,1.0532073974609375,15.4765625,4.6015625,2.17578125,2.3671875,6.33203125,,,,,0.0
locality,gist-960-euclidean,usearch,firsttouch,36,0.97813,0.6049395269999422,1653.0577939902007,2026-09-04T20:32:32.991751,2026-09-04T20:32:33.596768,True,1,25.0,25.0,25.0,25.0,24.0,0.39,10752.66,2638.33,2753.16,2651.07,2710.1,1.0,0.1,0.958291563149254,0.1,19.69,17.36,0.0016,90.308515625,148.8212890625,53.75,32.416666666666664,,,,,,,,,,,,,,,,,,,,,,7.5,33.1,2.0,0.2,0.0
locality,gist-960-euclidean,usearch,firsttouch,37,0.97813,0.5976816290000215,1673.1315661702629,2026-09-04T20:32:33.642332,2026-09-04T20:32:34.240052,True,1,25.0,25.0,25.0,26.0,24.0,0.4,11762.92,2899.03,2995.77,3004.92,2863.2,1.0,0.11,0.9528373467513277,0.1,21.37,18.93,0.0016,97.886416015625,161.32509765625,58.666666666666664,35.416666666666664,141.8479296875,130.857880859375,10.9900390625,26.793623046875,34.783056640625,30.50078125,38.78041015625,2.3778515625,2.73166015625,2.5446875,3.33583984375,2.5606231689453125,0.4594154357910156,0.51995849609375,0.5280265808105469,1.05322265625,15.5,4.6015625,2.19921875,2.3671875,6.33203125,,,,,0.0
locality,gist-960-euclidean,usearch,firsttouch,39,0.97813,0.5959703120000768,1677.935930472777,2026-09-04T20:32:34.931523,2026-09-04T20:32:35.527540,True,1,25.0,25.0,25.0,25.0,26.0,0.39,11152.33,2636.48,2841.13,2754.23,2920.5,1.0,0.11,0.9027495291902071,0.1,20.31,17.97,0.0016,94.476201171875,154.514970703125,55.833333333333336,34.0,131.370634765625,121.306171875,10.064462890625,25.0150390625,32.2161328125,28.234248046875,35.84076171875,2.129267578125,2.5108203125,2.317919921875,3.106455078125,,,,,,,,,,,,,,,0.0
locality,gist-960-euclidean,usearch,firsttouch,42,0.97813,0.6169384969999783,1620.9071161270638,2026-09-04T20:32:36.880091,2026-09-04T20:32:37.497073,False,1,25.0,24.0,25.0,24.0,26.0,0.39,12415.44,2994.18,3102.49,3048.78,3269.99,1.0,0.12,0.9156541763124658,0.1,22.64,20.11,0.0016,101.088544921875,165.12771484375,59.75,36.416666666666664,128.7671484375,118.862705078125,9.904453125,24.432783203125,31.599287109375,27.709453125,35.12119140625,2.150400390625,2.459453125,2.308896484375,2.985703125,2.5603904724121094,0.45935821533203125,0.5198936462402344,0.5279693603515625,1.0531692504882812,15.515625,4.6015625,2.21484375,2.3671875,6.33203125,,,,,0.0
locality,gist-960-euclidean,usearch,firsttouch,44,0.97813,0.6000472169999966,1666.5355186540355,2026-09-04T20:32:38.185862,2026-09-04T20:32:38.785940,False,1,25.0,25.0,25.0,25.0,24.0,0.4,10059.23,2538.25,2540.63,2524.85,2455.5,1.0,0.09,0.9664925628682649,0.1,18.27,16.11,0.0016,89.216083984375,147.299375,53.75,32.333333333333336,,,,,,,,,,,,,,,,,,,,,,7.1,33.0,2.0,0.2,0.0
locality,gist-960-euclidean,usearch,firsttouch,45,0.97813,0.5895149570000058,1696.3098020259224,2026-09-04T20:32:38.831935,2026-09-04T20:32:39.421473,False,1,25.0,25.0,25.0,25.0,26.0,0.39,12364.13,2973.8,3030.48,3066.34,3293.51,1.0,0.12,0.9029272721200179,0.1,22.54,20.01,0.0016,101.541708984375,165.721669921875,60.333333333333336,36.75,131.69,121.706591796875,9.9833984375,25.060859375,32.28716796875,28.36177734375,35.996787109375,2.099208984375,2.458681640625,2.332177734375,3.093330078125,2.5604629516601562,0.4593696594238281,0.5199356079101562,0.5279998779296875,1.0531578063964844,15.515625,4.6015625,1.73828125,2.3671875,6.80859375,,,,,0.0
locality,gist-960-euclidean,usearch,firsttouch,47,0.97813,0.619162873999926,1615.0839173217605,2026-09-04T20:32:40.112856,2026-09-04T20:32:40.732042,False,1,25.0,25.0,25.0,25.0,25.0,0.4,11128.97,2772.65,2780.42,2751.03,2824.87,1.0,0.1,0.9738607440342388,0.1,20.31,17.93,0.0016,91.876337890625,151.3179296875,54.75,33.083333333333336,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
locality,gist-960-euclidean,usearch,firsttouch,48,0.97813,0.5926169790000131,1687.4305587521446,2026-09-04T20:32:40.777968,2026-09-04T20:32:41.370607,False,1,25.0,25.0,25.0,25.0,26.0,0.39,12145.01,2933.86,3037.48,2959.54,3214.13,1.0,0.12,0.9128006645655279,0.1,22.18,19.65,0.0016,100.38640625,163.861240234375,59.583333333333336,36.25,128.84955078125,119.032119140625,9.817431640625,24.462421875,31.57595703125,27.749111328125,35.24462890625,2.11103515625,2.40685546875,2.30009765625,2.999443359375,2.560516357421875,0.4593849182128906,0.5199317932128906,0.5280113220214844,1.0531883239746094,15.515625,4.6015625,1.7265625,2.3671875,6.8203125,7.3,32.9,2.0,0.2,0.0
