label,dataset,runner_name,tag,run_id,recall,total_time,qps,start_time,end_time,samples,local_pct,local_pct_skt0,local_pct_skt1,lmb_gb_skt0,lmb_gb_skt1,rmb_gb_skt0,rmb_gb_skt1,ipc,inst,inst_skt0,inst_skt1,cpu_balance,llc_rd_miss_lat_ns,l3hit,l2miss,l3miss,l3mpi,upi_in_gb,upi_out_gb,upi_out_pct,upi_in_pct,mem_bw_gb,mem_read_gb,mem_write_gb,mem_read_gb_skt0,mem_read_gb_skt1,mem_write_gb_skt0,mem_write_gb_skt1,warmup_s
ann,sift-128-euclidean,annoy,imbalanced-memory,16,0.976239,1.4599439509997865,6849.578021917817,2026-03-15T10:48:48.457611,2026-03-15T10:48:49.935632,1,56.0,56.0,72.0,37.26953125,0.1845703125,0.0751953125,29.421875,0.31,42026.05,24323.09,17702.96,0.7278252886454805,369.38,0.06,298.26,269.85,0.0064,30.490302734375,66.163193359375,44.666666666666664,20.0,99.065283203125,85.15267578125,13.912607421875,84.929951171875,0.222734375,13.8316015625,0.081005859375,0.0
ann,sift-128-euclidean,annoy,imbalanced-memory,17,0.976239,1.534576684000058,6516.455061687633,2026-03-15T10:48:50.171677,2026-03-15T10:48:51.725074,1,55.0,55.0,77.0,45.984375,0.2841796875,0.06640625,37.60546875,0.31,52595.54,29767.74,22827.8,0.7668637256304979,386.31,0.06,373.62,336.55,0.0064,38.90294921875,82.250498046875,55.333333333333336,26.0,92.06239746093749,79.4770458984375,12.5853466796875,79.23779296875,0.2392529296875,12.4887890625,0.0965673828125,0.0
ann,sift-128-euclidean,annoy,imbalanced-memory,18,0.976239,1.4929461009996885,6698.165455071634,2026-03-15T10:48:51.963130,2026-03-15T10:48:53.474104,2,53.5,53.5,76.0,43.74365234375,0.26171875,0.07373046875,37.67578125,0.31,51017.055,28583.83,22433.225,0.784822222914144,378.175,0.06,362.225,326.965,0.0063999999999999994,38.8178955078125,81.42669921875,55.083333333333336,25.75,89.0688037109375,77.0427587890625,12.026044921875,76.8411181640625,0.201640625,11.949946289062499,0.0760986328125,0.0
ann,sift-128-euclidean,annoy,imbalanced-memory,19,0.976239,1.4858815789998516,6730.011423071151,2026-03-15T10:48:53.711348,2026-03-15T10:48:55.215411,2,56.5,56.5,74.5,46.6201171875,0.228515625,0.060546875,36.22705078125,0.305,52486.265,30281.79,22204.475,0.7332616400813822,378.53999999999996,0.06,374.405,338.105,0.00645,37.3623046875,80.95116210937499,54.666666666666664,25.0,74.17677734375,63.75501953125,10.4217578125,63.58009765625,0.174921875,10.35556640625,0.066181640625,0.0
ann,sift-128-euclidean,annoy,imbalanced-memory,20,0.976239,1.5035836990000462,6650.777077890954,2026-03-15T10:48:55.453219,2026-03-15T10:48:56.975705,1,55.0,55.0,72.0,36.7607421875,0.19921875,0.064453125,29.751953125,0.32,41600.97,23876.05,17724.92,0.7423723773404729,366.55,0.06,294.97,266.44,0.0064,30.637421875,66.195380859375,44.666666666666664,20.5,100.522861328125,86.467607421875,14.05525390625,86.23537109375,0.2322265625,13.968720703125,0.086533203125,0.0
ann,sift-128-euclidean,annoy,imbalanced-memory,21,0.976239,1.5012578969999597,6661.080697715904,2026-03-15T10:48:57.213079,2026-03-15T10:48:58.734488,1,55.0,55.0,77.0,44.025390625,0.2763671875,0.0546875,36.0947265625,0.3,50977.89,29136.99,21840.91,0.7495939010858705,390.23,0.07,361.73,325.13,0.0064,36.897314453125,78.194423828125,52.5,25.0,90.72220703125001,78.3435791015625,12.378623046875,78.11138671875,0.23219238281250001,12.2885205078125,0.0901025390625,0.0
ann,sift-128-euclidean,annoy,imbalanced-memory,22,0.976239,1.5463151239996478,6466.987126229697,2026-03-15T10:48:58.973421,2026-03-15T10:49:00.539983,2,54.5,54.5,75.5,44.1962890625,0.24755859375,0.072265625,36.708984375,0.305,51388.335,29074.835,22313.5,0.7674506149390014,381.36,0.06,364.735,329.115,0.0063999999999999994,37.7331982421875,80.25899414062499,54.333333333333336,25.0,88.2636181640625,76.287705078125,11.975908203125,76.074482421875,0.21322265625000003,11.893564453125,0.08234375,0.0
ann,sift-128-euclidean,annoy,imbalanced-memory,23,0.976239,1.490818637999837,6707.724028334219,2026-03-15T10:49:00.777605,2026-03-15T10:49:02.287487,2,53.0,53.0,74.5,43.798828125,0.26416015625,0.09814453125,38.10791015625,0.315,51013.835,28395.370000000003,22618.465,0.7965546847954437,374.61,0.065,362.945,327.2,0.00645,39.129990234375,81.77029296875,55.166666666666664,26.0,71.215322265625,61.43978515625,9.775546875,61.25876953125,0.181005859375,9.703896484375,0.071650390625,0.0
ann,sift-128-euclidean,annoy,imbalanced-memory,24,0.976239,1.4576881230000254,6860.1780053056145,2026-03-15T10:49:02.523113,2026-03-15T10:49:03.999541,1,56.0,56.0,71.0,37.2646484375,0.1953125,0.0625,29.3935546875,0.32,41388.88,24052.92,17335.96,0.720742429609378,363.3,0.06,294.88,266.24,0.0064,30.254521484375,65.923271484375,44.666666666666664,20.0,92.9059765625,80.11380859375,12.79216796875,79.89982421875,0.213984375,12.7104296875,0.08173828125,0.0
ann,sift-128-euclidean,annoy,imbalanced-memory,25,0.976239,1.4896215080002548,6713.114671272784,2026-03-15T10:49:04.239110,2026-03-15T10:49:05.746648,1,55.0,55.0,76.0,43.2216796875,0.2548828125,0.0703125,35.2431640625,0.3,50202.06,28755.29,21446.76,0.7458370268566236,390.6,0.06,355.12,319.63,0.0064,36.109541015625,76.52923828125,51.5,24.0,91.6022265625,79.2745263671875,12.3277001953125,79.06142578125,0.21310546875,12.244511718750001,0.0831884765625,0.0
