time,variant,elapsed,phase,limit,current_mb,high_events,psi_some_avg10,anon,file,pgscan,pgsteal,pgmajfault,repl_fail_events,repl_lock_main_lost,repl_pg_private_alloc,repl_pg_private_free,repl_pte_miss_events,repl_rdprotect_handled,repl_reclaimed,repl_reclaimed_replicas,repl_remote_faults_on_main,repl_repl_allocated,repl_repl_copy_events,repl_skipped_pressure,repl_tlb_flushed,repl_total_faults,repl_unreplicated,repl_writes_to_replicated,vm_numa_pte_updates,vm_numa_huge_pte_updates,vm_numa_hint_faults,vm_numa_hint_faults_local,vm_numa_pages_migrated,vm_pgmigrate_success,vm_pgmigrate_fail
2026-08-27T19:11:33.863,repl-bound,21.001,normal,max,4237,0,0.00,2285109248,2124312576,0,0,458441,459724,0,0,0,1340761,0,0,0,309405,504777,504777,0,1009554,1605624,0,0,173,0,168,109,45,45,0
2026-08-27T19:11:34.363,repl-bound,21.501,normal,max,4236,0,0.00,2285109248,2124312576,0,0,458441,459724,0,0,0,1340761,0,0,0,309405,504777,504777,0,1009554,1605624,0,0,173,0,168,109,45,45,0
2026-08-27T19:11:34.863,repl-bound,22.001,normal,max,4237,0,0.00,2285109248,2124312576,0,0,458441,459724,0,0,0,1340761,0,0,0,309405,504777,504777,0,1009554,1605624,0,0,173,0,168,109,45,45,0
2026-08-27T19:11:35.363,repl-bound,22.501,normal,max,4237,0,0.00,2285121536,2124312576,0,0,458441,459724,0,0,0,1340761,0,0,0,309405,504777,504777,0,1009554,1605624,0,0,173,0,168,109,45,45,0
2026-08-27T19:11:35.863,repl-bound,23.001,normal,max,4235,0,0.00,2285121536,2124312576,0,0,458441,459724,0,0,0,1340761,0,0,0,309405,504777,504777,0,1009554,1605624,0,0,173,0,168,109,45,45,0
2026-08-27T19:11:36.363,repl-bound,23.501,normal,max,4236,0,0.00,2285121536,2124312576,0,0,458441,459724,0,0,0,1340761,0,0,0,309405,504777,504777,0,1009554,1605624,0,0,173,0,168,109,45,45,0
2026-08-27T19:11:36.863,repl-bound,24.001,normal,max,4236,0,0.00,2285121536,2124312576,0,0,458441,459724,0,0,0,1340761,0,0,0,309405,504777,504777,0,1009554,1605624,0,0,173,0,168,109,45,45,0
2026-08-27T19:11:37.363,repl-bound,24.501,normal,max,4235,0,0.00,2285121536,2124312576,0,0,458441,459724,0,0,0,1340761,0,0,0,309405,504777,504777,0,1009554,1605624,0,0,173,0,168,109,45,45,0
2026-08-27T19:11:37.863,repl-bound,25.001,normal,max,4237,0,0.00,2285121536,2124312576,0,0,458441,459724,0,0,0,1340761,0,0,0,309405,504777,504777,0,1009554,1605624,0,0,173,0,168,109,45,45,0
2026-08-27T19:11:38.363,repl-bound,25.501,normal,max,4237,0,0.00,2285121536,2124312576,0,0,458441,459724,0,0,0,1340761,0,0,0,309405,504777,504777,0,1009554,1605624,0,0,173,0,168,109,45,45,0
2026-08-27T19:11:38.863,repl-bound,26.001,normal,max,4236,0,0.00,2285125632,2124312576,0,0,458441,459724,0,0,0,1340761,0,0,0,309405,504777,504777,0,1009554,1605624,0,0,173,0,168,109,45,45,0
2026-08-27T19:11:39.363,repl-bound,26.501,normal,max,4235,0,0.00,2285125632,2124312576,0,0,458441,459724,0,0,0,1340761,0,0,0,309405,504777,504777,0,1009554,1605624,0,0,173,0,168,109,45,45,0
2026-08-27T19:11:39.863,repl-bound,27.001,normal,max,4235,0,0.00,2285125632,2124312576,0,0,458441,459724,0,0,0,1340761,0,0,0,309405,504777,504777,0,1009554,1605624,0,0,173,0,168,109,45,45,0
2026-08-27T19:11:40.363,repl-bound,27.501,normal,max,4236,0,0.00,2285125632,2124312576,0,0,458441,459724,0,0,0,1340761,0,0,0,309405,504777,504777,0,1009554,1605624,0,0,173,0,168,109,45,45,0
2026-08-27T19:11:40.863,repl-bound,28.001,normal,max,4236,0,0.00,2285125632,2124312576,0,0,458441,459724,0,0,0,1340761,0,0,0,309405,504777,504777,0,1009554,1605624,0,0,173,0,168,109,45,45,0
2026-08-27T19:11:41.363,repl-bound,28.501,normal,max,4237,0,0.00,2285125632,2124312576,0,0,458441,459724,0,0,0,1340761,0,0,0,309405,504777,504777,0,1009554,1605624,0,0,173,0,168,109,45,45,0
2026-08-27T19:11:41.863,repl-bound,29.001,normal,max,4236,0,0.00,2285125632,2124312576,0,0,458441,459724,0,0,0,1340761,0,0,0,309405,504777,504777,0,1009554,1605624,0,0,173,0,168,109,45,45,0
2026-08-27T19:11:42.363,repl-bound,29.501,normal,max,4236,0,0.00,2285125632,2124312576,0,0,458441,459724,0,0,0,1340761,0,0,0,309405,504777,504777,0,1009554,1605624,0,0,173,0,168,109,45,45,0
2026-08-27T19:11:43.115,repl-bound,30.253,4G,4G,4236,0,0.00,2285125632,2124312576,0,0,458441,459724,0,0,0,1340761,0,0,0,309405,504777,504777,0,1009554,1605624,0,0,173,0,168,109,45,45,0
2026-08-27T19:11:43.615,repl-bound,30.753,4G,4G,4068,0,0.00,2115973120,2124091392,125526,41351,458441,459724,0,0,0,1381568,0,0,41297,309405,504777,504777,40807,1050361,1646509,0,0,173,0,168,109,45,45,0
2026-08-27T19:11:44.115,repl-bound,31.253,4G,4G,4069,0,0.00,2115973120,2124091392,125526,41351,458441,459724,0,0,0,1381570,0,0,41297,309405,504777,504777,40809,1050363,1646511,0,0,173,0,168,109,45,45,0
2026-08-27T19:11:44.615,repl-bound,31.753,4G,4G,4069,0,0.00,2115973120,2124091392,125526,41351,458441,459724,0,0,0,1381570,0,0,41297,309405,504777,504777,40809,1050363,1646511,0,0,173,0,168,109,45,45,0
2026-08-27T19:11:45.115,repl-bound,32.253,4G,4G,4070,0,0.00,2115977216,2124091392,125526,41351,458441,459724,0,0,0,1381570,0,0,41297,309405,504777,504777,40809,1050363,1646511,0,0,173,0,168,109,45,45,0
2026-08-27T19:11:45.615,repl-bound,32.753,4G,4G,4071,0,0.00,2115977216,2124091392,125526,41351,458441,459724,0,0,0,1381570,0,0,41297,309405,504777,504777,40809,1050363,1646511,0,0,173,0,168,109,45,45,0
2026-08-27T19:11:46.115,repl-bound,33.253,4G,4G,4071,0,0.00,2115977216,2124091392,125526,41351,458441,459724,0,0,0,1381570,0,0,41297,309405,504777,504777,40809,1050363,1646511,0,0,173,0,168,109,45,45,0
2026-08-27T19:11:46.615,repl-bound,33.753,4G,4G,4073,0,0.00,2115977216,2124091392,125526,41351,458441,459724,0,0,0,1381570,0,0,41297,309405,504777,504777,40809,1050363,1646511,0,0,173,0,168,109,45,45,0
2026-08-27T19:11:47.115,repl-bound,34.253,4G,4G,4074,0,0.00,2115981312,2124091392,125526,41351,458441,459724,0,0,0,1381570,0,0,41297,309405,504777,504777,40809,1050363,1646511,0,0,173,0,168,109,45,45,0
2026-08-27T19:11:47.615,repl-bound,34.753,4G,4G,4074,0,0.00,2115981312,2124091392,125526,41351,458441,459724,0,0,0,1381570,0,0,41297,309405,504777,504777,40809,1050363,1646511,0,0,173,0,168,109,45,45,0
2026-08-27T19:11:48.115,repl-bound,35.253,4G,4G,4075,0,0.00,2115981312,2124091392,125526,41351,458441,459724,0,0,0,1381570,0,0,41297,309405,504777,504777,40809,1050363,1646511,0,0,173,0,168,109,45,45,0
2026-08-27T19:11:48.615,repl-bound,35.753,4G,4G,4076,0,0.00,2115981312,2124091392,125526,41351,458441,459724,0,0,0,1381570,0,0,41297,309405,504777,504777,40809,1050363,1646511,0,0,173,0,168,109,45,45,0
2026-08-27T19:11:49.115,repl-bound,36.253,4G,4G,4076,0,0.00,2115981312,2124091392,125526,41351,458441,459724,0,0,0,1381570,0,0,41297,309405,504777,504777,40809,1050363,1646511,0,0,173,0,168,109,45,45,0
2026-08-27T19:11:49.615,repl-bound,36.753,4G,4G,4077,0,0.00,2115981312,2124091392,125526,41351,458441,459724,0,0,0,1381570,0,0,41297,309405,504777,504777,40809,1050363,1646511,0,0,173,0,168,109,45,45,0
2026-08-27T19:11:50.115,repl-bound,37.253,4G,4G,4078,0,0.00,2115981312,2124091392,125526,41351,458441,459724,0,0,0,1381572,0,0,41297,309405,504777,504777,40811,1050365,1646513,0,0,173,0,168,109,45,45,0
2026-08-27T19:11:50.615,repl-bound,37.753,4G,4G,4078,0,0.00,2115981312,2124091392,125526,41351,458441,459724,0,0,0,1381578,0,0,41297,309405,504777,504777,40817,1050371,1646519,0,0,173,0,168,109,45,45,0
