label,dataset,benchmark,tag,readratio,writeratio,read_bw_gb,write_bw_gb,read_bw_std,write_bw_std,read_bw_std_pct,write_bw_std_pct,samples,local_pct,local_pct_skt0,local_pct_skt1,local_pct_skt2,local_pct_skt3,ipc,inst,inst_skt0,inst_skt1,inst_skt2,inst_skt3,afreq,freq,cpu_balance,l3hit,l2miss,l3miss,l3mpi,upi_in_gb,upi_out_gb,upi_out_pct,upi_in_pct,mem_bw_gb,mem_read_gb,mem_write_gb,mem_read_gb_skt0,mem_read_gb_skt1,mem_read_gb_skt2,mem_read_gb_skt3,mem_write_gb_skt0,mem_write_gb_skt1,mem_write_gb_skt2,mem_write_gb_skt3,data_mem_gb,data_mem_gb_node0,data_mem_gb_node1,data_mem_gb_node2,data_mem_gb_node3,pagetable_mb,pagetable_mb_node0,pagetable_mb_node1,pagetable_mb_node2,pagetable_mb_node3,tma_l3_bound,tma_dram_bound,tma_l1_bound,tma_store_bound,warmup_s,read_bw_gb_std,write_bw_gb_std,runs
fio,details,readwrite_random,default,95,5,136.1191864272,6.3973810458,0.04612107015839998,0.07024332746139998,0.034697518221221295,1.1191553394362734,50.6,25.681176470588234,25.906666666666666,24.76807843137255,25.340549019607842,25.468941176470587,0.2886282352941177,68763.17093490195,17922.145392941173,16735.63615607843,17316.518851764708,16788.870338039218,0.9836023529411765,0.8971403921568628,0.8709518798492031,0.08234745098039217,1141.3859356862745,1082.0534384313726,0.01453993725490196,102.91809959712009,181.1416495733762,65.95137254901961,37.27373856209151,166.92196072074142,129.48255894837624,37.43940184895833,35.8183533180147,31.29447445082721,33.3432920335478,29.026439108455882,10.115532654718136,8.850893762254902,9.256539204197304,9.216436421568627,1.0537332270005169,0.33413626936370255,0.2103573066861022,0.2347582588943781,0.27448774330288755,13.158569546568629,3.8147821691176467,2.3751979166666666,1.1578069852941177,5.810782475490196,,,,,0.0,5.0132386528912924,0.4041546844929268,5
fio,details,readwrite_random,default,100,0,127.0253277974,0.0,0.00210916685179998,0.0,0.0016995696356804201,0.0,51.4,27.8803551609323,27.584313725490194,24.112615612282646,26.304402515723268,24.597336293007768,0.2653651498335183,61796.52288050315,16243.977420643729,14481.599544210138,16258.431044765075,14812.514995930449,0.9850314465408806,0.9147184609692933,0.7049303495303428,0.0742064372918979,1078.035439881613,1021.5087014428412,0.015601945985941548,87.28792492355139,147.5765194654955,53.65347145147367,31.552799358737207,127.97410981319786,120.94100314431849,7.033106533224401,37.147828135978344,29.841683628727537,31.250403213507628,22.701088081427017,1.4326603008408223,1.2758222924325981,1.1853592137288942,3.1392643526177832,1.0707709063474575,0.3651031963589718,0.21768555026207856,0.23396327275520692,0.2540258687450142,13.192268093322236,4.118691153348132,2.066826020856456,1.2227441789215685,5.783991115196079,,,,,0.0,11.16221475096894,0.0,5
fio,details,readwrite_random,interleaved,10,90,11.359148167799999,102.76209802119999,0.12210959302559996,0.10737773398379999,0.9513715426597702,0.0985272405641841,52.4,25.308357593885013,25.567746095048186,23.749024925224326,24.75783449651047,25.695320704553005,0.2551062013958126,54567.372167178466,13680.937777613824,13419.185889810567,13648.426393393154,13818.821822186776,0.982442087072117,0.8495975008308407,0.9687569580530297,0.15957769358590893,108.57959800598205,91.84699296776338,0.001659066932535726,126.76670585052136,191.69349658540006,69.82792455965438,46.035849008529965,223.4632921168266,88.89156019383258,134.5717321355984,22.333767239920864,22.17090487242699,22.13906118481794,22.247827264469613,33.735268457063704,33.619398948661825,33.54936090974472,33.66770319871116,1.0490643021981405,0.316559253189675,0.2058062024945097,0.23534137355966936,0.29136593108986425,13.162520484702501,4.2265071944726165,1.588734628549696,1.515517030087897,5.831777256592292,,,,,0.0,1.4987045719006142,9.736099213564659,5
fio,details,readwrite_random,interleaved,20,80,23.1085330586,92.3618298342,0.136030100368,0.10580420281239997,0.5325654198520142,0.10959375700707877,52.8,25.331159112825457,25.778034072645454,23.387909996785602,25.055279974284794,25.48429701060752,0.2620472259723562,55194.60321753777,14048.327559858566,13248.930914419801,13981.428131006109,13915.91677146898,0.9849634329797492,0.8602983220829316,0.9353384157604294,0.11186345226615235,186.95604897460623,168.4988980777885,0.0029992632594021216,125.47005551230764,194.24266965179,70.7848544948034,45.55134801242902,221.28513689380924,91.61047471306452,129.6746621370741,22.920790585849605,22.877888125841267,22.92452057236419,22.88727509996032,32.352491267679206,32.51503760548507,32.454365665694816,32.35276739096151,1.0596236907017267,0.3213678131643042,0.20810678599402666,0.23615556001433297,0.2939702185811969,13.17194756509161,4.188976675506268,1.595984661282546,1.5410305167148828,5.845388922372228,,,,,0.0,2.6180487137830672,6.5982889947777155,5
fio,details,readwrite_random,interleaved,30,70,33.807843675200004,84.3062237128,0.12671212538199997,0.10281410954699999,0.3364819882407493,0.11683411068924376,52.6,25.30921568627451,25.47607843137255,23.824745098039216,24.96164705882353,25.085803921568626,0.2577921568627451,56344.87711098039,14298.28067137255,13894.140327058823,14047.345941568627,14105.110036078433,0.9851600000000001,0.8620309803921569,0.958094873968847,0.10089137254901961,264.54054352941176,242.76076666666668,0.004152286274509804,124.24531079733455,195.37762652573528,71.16125816993464,45.07854901960785,218.84596286764705,94.41607298253676,124.42988957988663,23.708613534390317,23.540615207950367,23.5487839832261,23.618060466452206,31.26038964690564,31.124294732689954,30.97707342869179,31.068132104396444,1.0575099856806738,0.31881116964302814,0.20753946042528337,0.2357003490971584,0.29545255653530944,13.157261488970587,4.208297181372549,1.6065554534313726,1.5218129595588237,5.820595894607843,,,,,0.0,4.314384926533143,6.415874306070339,5
fio,details,readwrite_random,interleaved,40,60,47.223163640799996,73.4159912596,0.1291976210874,0.10596357284539996,0.2499854033106835,0.13882932606312584,52.6,25.247960784313726,26.83772549019608,23.43254901960784,25.002666666666663,23.770980392156865,0.26720666666666665,57093.30717607844,14291.088589019608,14343.41956745098,14272.551603137254,14186.246926666669,0.9855572549019607,0.8597203921568628,0.944741373862745,0.1034494117647059,353.2828274509804,328.23196274509803,0.005414082352941176,121.1317172376685,194.6949426753983,70.94861437908496,43.954578431372546,213.46035420266543,96.55776769569547,116.90258652267157,24.182162638633578,24.110621316253066,24.125073859528186,24.139909775965073,29.16198942938113,29.26711262369792,29.15075293696385,29.322731121706493,1.05106314883576,0.3157501684602767,0.20652961854183544,0.2344973212077634,0.2942958887974342,13.147905928049187,4.238602961947491,1.585408758100698,1.517095811523762,5.806798396477236,,,,,0.0,5.619579653901232,5.427667207245002,5
fio,details,readwrite_random,interleaved,50,50,60.783657012000006,61.6306151804,0.11245279455219999,0.10143798963659997,0.1750987517240134,0.16088333268369534,52.0,25.303640866873064,26.801081527347783,24.300854489164088,24.70696388028896,24.069927760577915,0.26434030959752325,58493.62296643962,14241.68785131063,14678.509164293087,14495.731534200206,15077.694674138285,0.9852559339525284,0.8653044375644996,0.942169888265771,0.09431504643962849,468.4847213209494,438.9193655314757,0.007021927347781218,118.07509143660506,194.7322584507627,70.95065600275197,42.81559545923633,208.61634084083138,100.31299562766061,108.30334483520383,25.154775274606557,25.03831692184275,25.04949238059533,25.07041110858488,26.93276627749291,27.115681928050826,27.019427543174338,27.23546942559178,1.0518014224970673,0.31599182961919603,0.20670338898177487,0.23459853777969092,0.29451448087426535,13.145128047600618,4.239003434597523,1.5859814886480907,1.5068576980134158,5.813285426341589,,,,,0.0,5.1209278141408845,3.878076700926091,5
fio,details,readwrite_random,interleaved,60,40,74.1785617688,49.2144096118,0.09264784840080001,0.09044898989860001,0.12455759682257708,0.18547431418041155,51.8,25.314249742002065,26.029279669762637,24.000127966976265,24.42638596491228,25.137663570691434,0.271788689370485,58924.084153477816,14675.341309308564,14665.936124045407,14753.60888619195,14829.19847876161,0.9840468937048504,0.8629460474716202,0.9567127342156511,0.0890269969040248,580.1410379360166,546.6889444375645,0.008629907946336429,112.96158843032444,192.35213530471975,70.05873030615754,40.95746611627107,199.51774286252743,102.78993035132062,96.72781397768318,25.797672656935305,25.602272643511355,25.659279304494,25.730707155169636,24.166355831358036,24.101091576730195,24.1982230783185,24.262142788715813,1.0520719683884905,0.31560253355950535,0.2061428910477155,0.23622045838599112,0.2941136419579428,13.155787585346639,4.250203989408263,1.5503766959908964,1.5112270330007003,5.843979866946779,,,,,0.0,2.331627254318549,1.1031041231957708,5
fio,details,readwrite_random,interleaved,70,30,88.6494979484,37.7660503056,0.081991057315,0.07566698931359997,0.09378498091666554,0.20339177261358804,51.4,25.337185185185184,26.639015250544663,23.464444444444446,24.942771241830066,24.49837037037037,0.26932427015250543,60719.11036601306,15028.038578300653,15033.583366884533,15382.481050631808,15275.00812200436,0.9865717647058823,0.8741640958605664,0.9411272154736812,0.08135651416122006,693.5339017864924,655.1662185620914,0.010087943355119826,110.14391744170412,192.45113416190088,70.11902687000727,39.92246913580247,193.97867345503133,107.29126621936275,86.68740654947916,26.926273920802696,26.81448032637187,26.800056626753133,26.750455694104026,21.519421511863428,21.769492110311138,21.74164642675994,21.656846608285676,1.0564485624558526,0.3145444564653118,0.213524797859275,0.2333389015613298,0.2950473468589367,13.16305691721133,4.223487847222222,1.5977549019607842,1.5127419662309367,5.829072201797386,,,,,0.0,1.3593853818378419,0.7685699861857394,5
fio,details,readwrite_random,interleaved,80,20,104.81841449359999,26.572040769199997,0.09491937655239996,0.059559678410799996,0.09093009637046537,0.22901502026377982,51.8,25.306014005602243,26.409887955182075,23.808103641456583,24.654078431372547,24.712224089635857,0.28375378151260505,63105.55721,15779.64312254902,15587.538091540617,15709.959213641458,16028.417066134454,0.9863166946778712,0.8780623529411764,0.9511343397804927,0.07931100840336135,842.0771279831933,798.117809327731,0.011936252661064425,107.48061675253305,192.05107926574536,69.96445074696544,38.94469607843138,187.84061641743807,113.96110034920999,73.87951578808868,28.55256182264312,28.506226964996937,28.500197768705142,28.40211324235163,18.43958201459099,18.456020906452427,18.44027270335478,18.543640667892156,1.0601112542088433,0.3155428907238908,0.21628498248246925,0.2323327951027759,0.2959601938190598,13.15099869388545,4.222825464396285,1.5588178212074304,1.5379477070433436,5.8314077012383905,,,,,0.0,2.4005665335148993,0.2555748191143043,5
