tag,readratio,writeratio,benchmark,read_bw_gb,write_bw_gb,read_bw_std,write_bw_std,read_bw_wall_gb,write_bw_wall_gb,read_bw_wall_std,write_bw_wall_std,wall_s,nb_runs
numabalancing,90,10,readwrite_random,99.3140833164,11.995850987599999,11.818412860646058,1.4716015935933866,99.3290539008,11.99696683008,11.817634285370406,1.4717207479988732,30.0,5
repl,90,10,readwrite_random,233.4294939052,0.2801529808,1.1668191386165114,0.001578364036662382,233.45129179818665,0.28017729536,1.1697033735192062,0.0015861580625270652,30.0,5
unrepl-bound,90,10,readwrite_random,188.3266654304,0.3032913874,10.1641620066926,0.0035817227424347355,188.34796079786665,0.3033055505066667,10.164342114886153,0.003582821219728331,30.0,5
unrepl-firsttouch,90,10,readwrite_random,200.2924177512,0.27455544940000004,5.4079704451127295,0.0340602223759028,200.31385463466668,0.27457216512000004,5.41178999671304,0.0340646088271841,30.0,5
unrepl-interleaved,90,10,readwrite_random,205.5181479934,0.26303189520000003,2.0190735824618162,0.011403110837181192,205.54141996373332,0.26304779605333334,2.0167762412031034,0.011407056536372237,30.0,5
default,85,15,readwrite_random,90.86707067879999,16.4094135282,11.502774978249844,2.0830706544474857,87.7773727134319,15.882486406425562,13.364786854782437,2.615038072249586,31.2,5
interleaved,85,15,readwrite_random,115.3178321714,19.9180670924,6.468930769966218,0.29276964790514043,101.64446361601678,17.654037684915053,8.973272981842072,2.3768265688501766,34.4,5
numabalancing,85,15,readwrite_random,90.14373440680001,15.671704893200001,8.938490244628987,1.78367234041483,88.12287329701647,15.334741029747452,10.934869804595506,2.2006724125800172,30.8,5
repl,85,15,readwrite_random,195.2690163304,0.3982642418,0.5638441292470691,0.0012030291575205697,195.28984668842668,0.39828813141333336,0.5646281537894227,0.0012002681932162852,30.0,5
unrepl-bound,85,15,readwrite_random,92.6334042834,1.979414799,4.115273549009881,0.6675266397787576,92.64447231317334,1.9795630216533333,4.1144064153908,0.6675851430878299,30.0,5
unrepl-firsttouch,85,15,readwrite_random,129.3381663124,6.540609397,6.280359190802411,1.5339040204629246,129.35530755413333,6.541174401706667,6.278414535206962,1.534047325706509,30.0,5
unrepl-interleaved,85,15,readwrite_random,143.0398024534,7.8580240754,5.439490883048243,1.648918406964928,143.05801101312,7.858547944106666,5.443244936578203,1.6490283348134873,30.0,5
default,80,20,readwrite_random,87.34645314939999,22.9855829204,11.588305340092687,2.8452597121589833,65.85449628766989,17.475463173257804,5.399114811390004,2.591172635863735,40.0,5
interleaved,80,20,readwrite_random,101.9332483412,26.3042781516,5.747126137064559,0.18038308368301212,95.53466062945525,24.811095802636192,8.596242290095141,3.4191147680504677,32.4,5
numabalancing,80,20,readwrite_random,86.1453502294,20.460831187000004,9.980414328607147,2.676645283676107,69.11577444062289,16.51123401199414,8.831236740273336,2.993837683077042,38.2,5
repl,80,20,readwrite_random,151.51286040120002,0.5152443518000001,0.5489841848163236,0.003339637657880255,150.54395748131785,0.5119738040980646,1.8523498644858531,0.009068485573838547,30.2,5
unrepl-bound,80,20,readwrite_random,51.380267452,10.6562841818,1.8189616486492646,0.8669323856181678,50.44407504275394,10.449252131064243,2.5972680862549593,0.7498341386344244,30.6,5
unrepl-firsttouch,80,20,readwrite_random,96.7565664906,19.600985458,4.768832084189257,2.252027818227823,95.49814319616,19.356138082986668,3.9728952855024557,2.302587281268899,30.4,5
unrepl-interleaved,80,20,readwrite_random,106.19878041060001,20.5522129796,2.176413116321772,1.8991267147472057,106.21223111338668,20.55387045888,2.176634026222845,1.8994503747867408,30.0,5
default,70,30,readwrite_random,98.81123420280001,38.4109518664,2.020658297466711,2.6632308307298427,61.28569507984507,23.82364581691174,2.381538541719493,1.83758980340415,48.4,5
interleaved,70,30,readwrite_random,100.3797407166,41.0298686396,5.097636020851653,1.6784170356768278,66.96539698953984,27.353037203072557,7.451854815724398,2.695131817469869,45.2,5
numabalancing,70,30,readwrite_random,88.30357707440001,36.5549790366,3.01681602652667,3.1779292835979707,56.75121012229918,23.53727153095358,9.72512721004196,4.568998955010901,47.6,5
