metric,baseline,baseline-warmup,distribute,distribute-warmup,interleaved-distribute,interleaved-distribute-warmup,repl-distribute,repl-distribute-warmup
l3miss,2.78484496124031,2.4987391304347826,3.1930113636363635,2.8174130105900153,3.246831683168317,2.2415748031496063,4.20497461928934,2.1935532994923856
l3mpi,0.0008120155038759689,0.0006765217391304347,0.00041117424242424245,0.00039016641452344937,0.0004447524752475248,0.00045905511811023626,0.0006291878172588833,0.00042182741116751274
upi_in_gb,21.873737679414972,23.61915385812953,26.098003743489585,26.968466457072616,30.598805209622526,36.371230314352765,10.034476274984138,7.5336586393559655
upi_out_gb,57.79670493429021,62.80967667289403,68.26832645300664,71.1743599895991,71.65614528542699,87.30783581398222,29.791099847319163,25.954618744051395
upi_out_pct,20.74192506459948,22.530917874396135,24.57433712121212,25.644351991931416,25.798184818481847,31.486824769433465,10.423223350253805,9.15076487447771
upi_in_pct,7.667797157622739,8.210507246376812,9.033301767676768,9.323877962682804,10.666336633663365,12.92951251646904,3.1381133671742814,2.2673434856175976
mem_bw_gb,39.13441724200581,41.16636352185236,44.60569696599787,44.69947485757848,48.87830159183547,51.26058171347966,47.7074074248493,61.13580295138889
mem_read_gb,30.30091806337815,33.58018222090127,35.49098016912287,36.63767644608075,36.82361366724309,46.92545181516616,36.002580405298225,56.405031269728546
mem_write_gb,8.833499178627665,7.586181400022645,9.114716759883995,8.061798175113466,12.054687808794467,4.335130169580853,11.70482721783788,4.730771730981692
mem_read_gb_skt0,1.3204421027131783,0.7993122027853261,11.102701619466147,10.553752216102495,8.28274417922431,13.772304262907609,8.832005001784582,16.228249499450374
mem_read_gb_skt1,1.8299481437742247,0.8615174507472826,6.838626061641809,7.593288444946104,8.457012162642044,10.753566537487648,8.177918211651333,12.848437204071969
mem_read_gb_skt2,2.4192712118459303,2.8060863054800724,7.381041574189156,7.698425296662255,8.318875544250245,11.658326951581028,8.153717679251269,12.844471275252527
mem_read_gb_skt3,24.731256415788515,29.113266261888583,10.168610802852745,10.792210399725795,11.76498214781991,10.741381603422619,10.838938967322335,14.47996621488321
mem_write_gb_skt0,1.7049635303112889,1.0683321869338769,1.8215770189689866,1.9007334412821484,2.3036760823246047,2.8171541887969367,2.7982615700348985,3.055508744896357
mem_write_gb_skt1,2.0915160754299906,1.087425498188406,1.4796292946555396,1.2040807459105525,2.319949936697135,0.26069833868577075,2.19867479973033,0.07443551728219697
mem_write_gb_skt2,2.538888951974321,2.801238224637681,1.6993444269353692,1.1008580305644857,2.1906580796072137,1.0277337960103752,2.1351764752538074,0.07667865175189394
mem_write_gb_skt3,2.4981308101683624,2.629185829936594,4.11416611180161,3.856126223288578,5.240403941761364,0.2289973570808532,4.572714075388642,1.5276018485637628
data_mem_gb,8.299686638483456,8.675156680523743,7.969594351028356,8.483172809716427,7.938270387195406,8.767902838015088,19.72843529367205,32.329886993559285
data_mem_gb_node0,0.3024767611889129,0.29778029022438257,2.791274235415956,2.5359361764156456,2.0922673846048023,2.2984314862419577,5.89092515083739,8.064581106204798
data_mem_gb_node1,0.18515199111554792,0.15399572984227594,1.6178722490169517,1.9151493766091086,1.9611894062587192,2.184264598173254,3.169273918655318,7.991023431910147
data_mem_gb_node2,0.10442598737646579,0.13751286588317252,1.694773860402985,1.9291005336877072,1.8454811989314972,2.033422193340227,3.3549032646992485,8.120490536831394
data_mem_gb_node3,7.707906741468773,8.086033410015578,1.8657892288700226,2.103124890182958,2.0390502460419184,2.2517393224379596,7.313733589830737,8.153711016815487
pagetable_mb,28.032428675048354,29.107963307329463,28.505018085863377,29.069241240530303,28.43256293402778,29.584298406862747,69.50878410532995,77.32083462252476
pagetable_mb_node0,6.213952188104448,6.328487844702467,11.648874822106261,10.961641808712121,10.144337487599206,10.64234068627451,18.60047192258883,20.668084777227723
