metric,local-1node,firsttouch-allnodes,balancing-allnodes,interleaved-allnodes,imbalanced-allnodes,repl-allnodes
mem_write_gb_skt2,0.0057138671875,2.4241299715909093,1.3128234726123595,2.763064697265625,0.05763994489397321,1.5886150045955882
mem_write_gb_skt3,0.036008338341346154,3.1849911221590905,1.2804718223314606,2.767032958984375,0.09193804059709822,3.692766544117647
data_mem_gb,2.5566842886117787,2.5605499869898747,2.565458637653011,2.5557479321117134,2.562690258026123,8.335318165440713
data_mem_gb_node0,2.284935848529522,0.4594003777754934,0.5922765070849126,0.6273741923587423,2.285951784678868,1.9937197777532762
data_mem_gb_node1,0.005449324387770432,0.5199375152587891,0.8348086706482538,0.5662025129291374,0.005462510245186942,1.9404813089678365
data_mem_gb_node2,0.07051908052884616,0.5276633814761513,0.5118092640791789,0.6181538004270741,0.07559425490243095,2.012675808322045
data_mem_gb_node3,0.19578003516564002,1.0535487124794407,0.6265644979949044,0.7440174263967595,0.1956817763192313,2.3884412703975553
pagetable_mb,14.702463942307693,15.590768914473685,16.277150371287128,16.044454225352112,16.027308872767858,27.95375504032258
pagetable_mb_node0,9.547235576923077,4.6499794407894735,5.12122911509901,5.411531690140845,10.163818359375,7.867124495967742
pagetable_mb_node1,0.21947115384615384,1.7836143092105263,3.538153620049505,1.939205545774648,0.3828125,4.469128024193548
pagetable_mb_node2,1.2936899038461538,2.3671875,2.338799504950495,2.954005281690141,1.2970842633928572,5.837071572580645
pagetable_mb_node3,3.6420673076923076,6.789987664473684,5.278968131188119,5.739711707746479,4.18359375,9.780430947580646
tma_l3_bound,6.7299999999999995,7.190697674418605,4.8464285714285715,6.854761904761904,7.867857142857143,4.293103448275862
tma_dram_bound,26.60615384615385,32.93255813953488,30.808333333333334,32.02857142857143,35.93660714285714,29.175862068965518
tma_l1_bound,4.876153846153846,1.9976744186046513,2.2458333333333336,2.019047619047619,0.8071428571428572,3.8275862068965516
tma_store_bound,0.19923076923076924,0.19999999999999998,0.19285714285714284,0.2,0.19821428571428573,0.20344827586206898
warmup_s,0.0,0.0,0.0,0.0,0.0,0.0
qps_std,11.734825791123145,22.8091403846768,212.00117419627915,51.56323702766412,6.1192199579725095,109.10789113805228
runs,65.0,79.0,104.0,77.0,56.0,74.0
