metric,firsttouch,balancing,interleaved,repl-no-unreplication,repl-main-bound,repl-main-firsttouch,repl-main-interleaved
inst_skt1,2079.8508318019603,1808.4652671760246,2417.691110899178,1161.9918929788619,754.1031990876238,1850.9736357804443,2201.5422076696045
inst_skt2,2124.524330939483,1834.0490415896707,2561.4379977026097,1190.1275332251748,789.5554607057321,1850.2243238502356,2166.328321393409
inst_skt3,2139.740315330108,1923.0732755922768,2468.01727243646,1166.0298771341654,749.3171791730473,1886.3207546891554,2188.671748392508
afreq,0.9834266001807949,0.9852615671641791,0.9817634343902123,0.9897539481036359,0.9956185757854559,0.994399469687379,0.9940196389366067
freq,0.11633280261277812,0.11484138829661217,0.1193411005734096,0.1360316951113115,0.09275820056450482,0.1069669100760636,0.11550746772211815
cpu_balance,0.776300208984725,0.686913767300225,0.9122462468560883,0.9177386286174786,0.3659302489015295,0.7996271891797303,0.9190999047065299
l3hit,0.08444701340708691,0.08440039682539684,0.08599478871533306,0.5286419724343453,0.12353191323771344,0.12241620605340697,0.13435906868203804
l2miss,70.5162497670527,65.46334120469083,80.24302903678118,82.95376626621966,40.09759036920875,69.11051262784679,76.92396557196665
l3miss,66.61807473559304,61.779250290215586,75.93416772654719,32.97827327363389,34.53105929141465,62.189730671231416,69.18480610924556
l3mpi,0.007401866283542953,0.0075790270670457235,0.007336094355844136,0.006435018649949514,0.008521168499920292,0.008306493134356828,0.0075659368838284
upi_in_gb,96.0852640758579,84.97412302803666,110.64268674054206,31.949752347904887,28.24947102467838,76.40392708932958,91.3805941691107
upi_out_gb,168.46193535062625,152.97867791157796,185.93398280741295,87.21929719086556,65.00539355565813,142.18731705442798,160.5115049011627
upi_out_pct,61.29799847767392,55.62261139737819,67.71408538629126,31.508090719247054,23.336918919664065,51.66373142729445,58.40488533259095
upi_in_pct,34.760013813838064,30.703359985785358,40.103148173161344,11.30826945133368,9.92098254472725,27.525374024704796,33.04061969912343
mem_bw_gb,174.2087827253485,156.95537554288012,198.60496725049347,54.90662374775427,70.44235479921737,139.56000306922297,164.10288258792605
mem_read_gb,84.2421481357496,76.33725151332995,95.69479004277491,25.465126618658893,36.45206010342442,69.228138891894,80.37741941769573
mem_write_gb,89.96663454667308,80.61812412781065,102.91017739147385,29.441496914652937,33.99029445582103,70.33186444033092,83.72546386367532
mem_read_gb_skt0,30.492372506100303,31.94770006453178,23.983669894090674,7.198737635219857,34.70031523398735,23.386748156373802,20.958001123186058
mem_read_gb_skt1,15.505229587984639,11.487745119811176,23.885415083308846,6.322593286712545,0.60305633160217,15.609235020385825,19.812973806067095
mem_read_gb_skt2,22.462160337566264,16.95891946830673,23.89987960576297,6.266883459053474,0.6023125613568552,13.135549896950014,19.836306880038727
mem_read_gb_skt3,15.782386236922738,15.942887018336961,23.9258259341599,5.6769119732023,0.5463759409786332,17.09660581799589,19.770137962665693
mem_write_gb_skt0,32.79619118306594,34.0152914779958,25.75211231744067,8.177948581064417,32.224568291722846,24.052480597518677,21.97758831501688
mem_write_gb_skt1,16.455589641514955,12.106524775912302,25.593814694427927,7.315150910117778,0.5890281584483315,15.629641929133296,20.512752379807466
mem_write_gb_skt2,23.981807678130075,17.993378709330255,25.747099492606793,7.082078508771611,0.6021003429682048,13.459082727841121,20.663149342893053
mem_write_gb_skt3,16.733046431443228,16.502929725805934,25.817150438626463,6.866319568734788,0.5745975513478483,17.190658999285112,20.571973878077948
data_mem_gb,1.3080432713961865,1.3086095720804916,1.301919312006601,3.9288418039704665,1.4766381570125873,1.4458466408251662,1.4646126834007096
data_mem_gb_node0,0.48743173039949494,0.5482412380348645,0.3564851126719414,1.0621393115513549,1.0896404754783553,0.4470602321012901,0.3637703638371148
data_mem_gb_node1,0.26200151565942054,0.22460615232187942,0.3333282258408354,0.9735959056138498,0.14257764133778766,0.35638691157742697,0.38632669643475875
data_mem_gb_node2,0.2716003968427523,0.22056633026332717,0.2540469527159842,0.9915664866013841,0.169150065012673,0.3277263972594297,0.40454302489765803
data_mem_gb_node3,0.28701516202475935,0.31519866498266175,0.35806335604775436,0.9015534926724763,0.07527243079365623,0.31467242419409863,0.3099691202225445
pagetable_mb,12.308420740790899,12.16397358908582,12.22885944047434,18.297083220030714,18.240530365211,18.277116568457217,18.27916304525126
pagetable_mb_node0,7.8509287781454615,7.673986350798093,6.085673349792148,7.427797637959982,7.56473637966266,7.222649708901278,7.43042746783362
pagetable_mb_node1,1.8687160326086958,1.9168064439706232,2.023967052641369,3.3361649682917665,3.324117422710601,3.533606161119793,3.337660970829053
pagetable_mb_node2,0.42864168707899575,0.3999820095948827,1.1596933776522893,2.97241153287288,2.9836386610956174,2.973356108236479,3.146525983252027
pagetable_mb_node3,2.1601342429577466,2.173198784722222,2.9595132595948828,4.560709080906088,4.368037901742122,4.547504590199668,4.364538206669893
tma_l3_bound,8.346517773892774,8.796123905536296,7.406351366104029,7.018182217782217,6.392717424126888,6.000395727167133,6.046047655765966
tma_dram_bound,21.734678321678324,22.671521875820382,22.111611932129176,18.047998601398604,26.83254759798688,24.05007429116227,22.826784618545183
tma_l1_bound,13.961475961538463,13.726457386367835,14.50136726874658,35.258654145854145,13.694147969091556,14.837872563632578,16.23823218590824
tma_store_bound,19.926370775058274,20.06944521920641,19.940743842364533,0.6389990009990011,17.90735395760256,16.77114714887103,17.168994502938165
warmup_s,0.0,0.0,0.0,0.0,0.0,0.0,0.0
read_bw_gb_std,5.5307152422049874,5.939508228137851,4.444669271664239,0.3351262469721671,4.5202872007001424,7.200273955231618,8.44358211343917
write_bw_gb_std,6.174373180805004,5.471749859094133,2.761652869615252,0.050436678370073346,4.440978355613642,9.271825913739598,3.1774060420180152
runs,5.0,5.0,5.0,5.0,5.0,5.0,5.0
