sf,streams,stream,tag,pass,warmup,query,elapsed_s,rows,start_time,end_time
10,16,0,numa-balancing,1,True,11,0.1239,0,2026-08-27T17:14:59.050834,2026-08-27T17:14:59.174736
10,16,5,numa-balancing,1,True,14,0.7333,1,2026-08-27T17:14:58.453002,2026-08-27T17:14:59.186357
10,16,3,numa-balancing,1,True,13,0.7569,45,2026-08-27T17:14:58.440606,2026-08-27T17:14:59.197555
10,16,7,numa-balancing,1,True,19,0.1858,1,2026-08-27T17:14:59.081059,2026-08-27T17:14:59.266897
10,16,13,numa-balancing,1,True,3,0.6757,10,2026-08-27T17:14:58.602001,2026-08-27T17:14:59.277731
10,16,2,numa-balancing,1,True,12,0.4519,2,2026-08-27T17:14:58.833900,2026-08-27T17:14:59.285787
10,16,4,numa-balancing,1,True,12,0.4889,2,2026-08-27T17:14:58.861891,2026-08-27T17:14:59.350812
10,16,5,numa-balancing,1,True,15,0.2009,1,2026-08-27T17:14:59.186450,2026-08-27T17:14:59.387377
10,16,0,numa-balancing,1,True,12,0.2788,2,2026-08-27T17:14:59.174854,2026-08-27T17:14:59.453671
10,16,8,numa-balancing,1,True,18,0.6463,100,2026-08-27T17:14:58.819365,2026-08-27T17:14:59.465731
10,16,10,numa-balancing,1,True,4,0.392,5,2026-08-27T17:14:59.089754,2026-08-27T17:14:59.481790
10,16,7,numa-balancing,1,True,20,0.3606,1804,2026-08-27T17:14:59.267003,2026-08-27T17:14:59.630504
10,16,3,numa-balancing,1,True,14,0.4357,1,2026-08-27T17:14:59.197670,2026-08-27T17:14:59.633437
10,16,1,numa-balancing,1,True,13,0.7484,45,2026-08-27T17:14:58.904774,2026-08-27T17:14:59.654255
10,16,8,numa-balancing,1,True,19,0.2225,1,2026-08-27T17:14:59.465855,2026-08-27T17:14:59.688391
10,16,14,numa-balancing,1,True,3,0.8424,10,2026-08-27T17:14:58.850452,2026-08-27T17:14:59.692899
10,16,6,numa-balancing,1,True,16,1.2402,27840,2026-08-27T17:14:58.465060,2026-08-27T17:14:59.705275
10,16,3,numa-balancing,1,True,15,0.1193,1,2026-08-27T17:14:59.666492,2026-08-27T17:14:59.785820
10,16,13,numa-balancing,1,True,4,0.5397,5,2026-08-27T17:14:59.278026,2026-08-27T17:14:59.817714
10,16,15,numa-balancing,1,True,5,1.3871,5,2026-08-27T17:14:58.476888,2026-08-27T17:14:59.864020
10,16,11,numa-balancing,1,True,21,2.0629,100,2026-08-27T17:14:57.806908,2026-08-27T17:14:59.869797
10,16,1,numa-balancing,1,True,14,0.213,1,2026-08-27T17:14:59.666339,2026-08-27T17:14:59.879343
10,16,12,numa-balancing,1,True,3,1.0231,10,2026-08-27T17:14:58.871604,2026-08-27T17:14:59.894762
10,16,8,numa-balancing,1,True,20,0.2486,1804,2026-08-27T17:14:59.688509,2026-08-27T17:14:59.937111
10,16,2,numa-balancing,1,True,13,0.6671,45,2026-08-27T17:14:59.286590,2026-08-27T17:14:59.953750
10,16,0,numa-balancing,1,True,13,0.5306,45,2026-08-27T17:14:59.453784,2026-08-27T17:14:59.986109
10,16,1,numa-balancing,1,True,15,0.184,1,2026-08-27T17:14:59.879829,2026-08-27T17:15:00.063830
10,16,4,numa-balancing,1,True,13,0.7467,45,2026-08-27T17:14:59.350998,2026-08-27T17:15:00.097694
10,16,5,numa-balancing,1,True,16,0.7232,27840,2026-08-27T17:14:59.387484,2026-08-27T17:15:00.110709
10,16,15,numa-balancing,1,True,6,0.2469,1,2026-08-27T17:14:59.864126,2026-08-27T17:15:00.111005
10,16,14,numa-balancing,1,True,4,0.4445,5,2026-08-27T17:14:59.693024,2026-08-27T17:15:00.137842
10,16,2,numa-balancing,1,True,14,0.2054,1,2026-08-27T17:14:59.953970,2026-08-27T17:15:00.159403
10,16,0,numa-balancing,1,True,14,0.1436,1,2026-08-27T17:15:00.029812,2026-08-27T17:15:00.174528
10,16,13,numa-balancing,1,True,5,0.3657,5,2026-08-27T17:14:59.817832,2026-08-27T17:15:00.183551
10,16,6,numa-balancing,1,True,17,0.5071,1,2026-08-27T17:14:59.705419,2026-08-27T17:15:00.213073
10,16,9,numa-balancing,1,True,21,1.7487,100,2026-08-27T17:14:58.469402,2026-08-27T17:15:00.218111
10,16,13,numa-balancing,1,True,6,0.0747,1,2026-08-27T17:15:00.183658,2026-08-27T17:15:00.258370
10,16,10,numa-balancing,1,True,5,0.7779,5,2026-08-27T17:14:59.481924,2026-08-27T17:15:00.259867
10,16,3,numa-balancing,1,True,16,0.5075,27840,2026-08-27T17:14:59.789659,2026-08-27T17:15:00.297249
10,16,0,numa-balancing,1,True,15,0.164,1,2026-08-27T17:15:00.174631,2026-08-27T17:15:00.338689
10,16,10,numa-balancing,1,True,6,0.0442,1,2026-08-27T17:15:00.318182,2026-08-27T17:15:00.362413
10,16,4,numa-balancing,1,True,14,0.2784,1,2026-08-27T17:15:00.097775,2026-08-27T17:15:00.376210
10,16,5,numa-balancing,1,True,17,0.3748,1,2026-08-27T17:15:00.110836,2026-08-27T17:15:00.485636
10,16,8,numa-balancing,1,True,21,0.6559,100,2026-08-27T17:14:59.937223,2026-08-27T17:15:00.593468
10,16,4,numa-balancing,1,True,15,0.2127,1,2026-08-27T17:15:00.376954,2026-08-27T17:15:00.603908
10,16,1,numa-balancing,1,True,16,0.5774,27840,2026-08-27T17:15:00.063939,2026-08-27T17:15:00.641378
10,16,7,numa-balancing,1,True,21,1.0036,100,2026-08-27T17:14:59.666205,2026-08-27T17:15:00.669887
10,16,13,numa-balancing,1,True,7,0.425,4,2026-08-27T17:15:00.274316,2026-08-27T17:15:00.699326
10,16,3,numa-balancing,1,True,17,0.3991,1,2026-08-27T17:15:00.321893,2026-08-27T17:15:00.721054
10,16,10,numa-balancing,1,True,7,0.3873,4,2026-08-27T17:15:00.362535,2026-08-27T17:15:00.749831
10,16,6,numa-balancing,1,True,18,0.5447,100,2026-08-27T17:15:00.213197,2026-08-27T17:15:00.757924
10,16,2,numa-balancing,1,True,15,0.6305,1,2026-08-27T17:15:00.159516,2026-08-27T17:15:00.790089
10,16,12,numa-balancing,1,True,4,0.9619,5,2026-08-27T17:14:59.894846,2026-08-27T17:15:00.858765
10,16,1,numa-balancing,1,True,17,0.2576,1,2026-08-27T17:15:00.650287,2026-08-27T17:15:00.908995
10,16,0,numa-balancing,1,True,16,0.6445,27840,2026-08-27T17:15:00.338809,2026-08-27T17:15:00.983563
10,16,6,numa-balancing,1,True,19,0.214,1,2026-08-27T17:15:00.769627,2026-08-27T17:15:00.983724
10,16,8,numa-balancing,1,True,22,0.4116,7,2026-08-27T17:15:00.593628,2026-08-27T17:15:01.005254
10,16,14,numa-balancing,1,True,5,0.9249,5,2026-08-27T17:15:00.137962,2026-08-27T17:15:01.062843
10,16,5,numa-balancing,1,True,18,0.5973,100,2026-08-27T17:15:00.485742,2026-08-27T17:15:01.083920
10,16,7,numa-balancing,1,True,22,0.4375,7,2026-08-27T17:15:00.670274,2026-08-27T17:15:01.107830
10,16,8,numa-balancing,1,True,1,0.1164,4,2026-08-27T17:15:01.013551,2026-08-27T17:15:01.130041
10,16,15,numa-balancing,1,True,7,1.0338,4,2026-08-27T17:15:00.132139,2026-08-27T17:15:01.167168
10,16,4,numa-balancing,1,True,16,0.6285,27840,2026-08-27T17:15:00.604067,2026-08-27T17:15:01.232646
10,16,7,numa-balancing,1,True,1,0.1249,4,2026-08-27T17:15:01.107960,2026-08-27T17:15:01.232844
10,16,14,numa-balancing,1,True,6,0.1793,1,2026-08-27T17:15:01.062966,2026-08-27T17:15:01.242278
10,16,0,numa-balancing,1,True,17,0.2587,1,2026-08-27T17:15:00.985691,2026-08-27T17:15:01.244453
10,16,10,numa-balancing,1,True,8,0.5478,2,2026-08-27T17:15:00.749932,2026-08-27T17:15:01.297727
10,16,1,numa-balancing,1,True,18,0.38,100,2026-08-27T17:15:00.925035,2026-08-27T17:15:01.305598
10,16,6,numa-balancing,1,True,20,0.3181,1804,2026-08-27T17:15:00.994778,2026-08-27T17:15:01.312974
10,16,11,numa-balancing,1,True,22,1.4632,7,2026-08-27T17:14:59.869882,2026-08-27T17:15:01.333142
10,16,3,numa-balancing,1,True,18,0.639,100,2026-08-27T17:15:00.724124,2026-08-27T17:15:01.363168
10,16,5,numa-balancing,1,True,19,0.3179,1,2026-08-27T17:15:01.084039,2026-08-27T17:15:01.402013
10,16,13,numa-balancing,1,True,8,0.7302,2,2026-08-27T17:15:00.699429,2026-08-27T17:15:01.429650
10,16,4,numa-balancing,1,True,17,0.2131,1,2026-08-27T17:15:01.245591,2026-08-27T17:15:01.458738
10,16,7,numa-balancing,1,True,2,0.244,100,2026-08-27T17:15:01.270788,2026-08-27T17:15:01.514822
10,16,1,numa-balancing,1,True,19,0.2218,1,2026-08-27T17:15:01.305703,2026-08-27T17:15:01.527499
10,16,8,numa-balancing,1,True,2,0.5481,100,2026-08-27T17:15:01.130277,2026-08-27T17:15:01.678362
