bench,streams,tag,phase,query,mean_s,std_s,n
clickbench,16,interleaved,cold,5,3.7439,0.0,1
clickbench,16,interleaved,warm,5,2.0407,1.4128,9
clickbench,16,interleaved,cold,6,3.0826,0.0,1
clickbench,16,interleaved,warm,6,2.3829,1.1657,9
clickbench,16,interleaved,cold,7,0.2352,0.0,1
clickbench,16,interleaved,warm,7,0.1381,0.0095,9
clickbench,16,interleaved,cold,8,0.4859,0.0,1
clickbench,16,interleaved,warm,8,0.2968,0.0372,9
clickbench,16,interleaved,cold,9,5.248,0.0,1
clickbench,16,interleaved,warm,9,3.8283,1.291,9
clickbench,16,interleaved,cold,10,5.4861,0.0,1
clickbench,16,interleaved,warm,10,3.1723,1.2963,9
clickbench,16,interleaved,cold,11,1.7138,0.0,1
clickbench,16,interleaved,warm,11,1.272,0.2489,9
clickbench,16,interleaved,cold,12,1.7776,0.0,1
clickbench,16,interleaved,warm,12,1.6328,0.478,9
clickbench,16,interleaved,cold,13,5.0231,0.0,1
clickbench,16,interleaved,warm,13,4.2547,1.3251,9
clickbench,16,interleaved,cold,14,8.1191,0.0,1
clickbench,16,interleaved,warm,14,6.7979,1.847,9
clickbench,16,interleaved,cold,15,4.2758,0.0,1
clickbench,16,interleaved,warm,15,3.951,0.7591,9
clickbench,16,interleaved,cold,16,4.7749,0.0,1
clickbench,16,interleaved,warm,16,3.6087,0.7141,9
clickbench,16,interleaved,cold,17,8.0812,0.0,1
clickbench,16,interleaved,warm,17,3.6313,1.4012,9
clickbench,16,interleaved,cold,18,3.9764,0.0,1
clickbench,16,interleaved,warm,18,3.4259,1.0283,9
clickbench,16,interleaved,cold,19,10.3896,0.0,1
clickbench,16,interleaved,warm,19,5.9781,1.8464,9
clickbench,16,interleaved,cold,20,0.2751,0.0,1
clickbench,16,interleaved,warm,20,0.2855,0.0738,9
clickbench,16,interleaved,cold,21,3.6806,0.0,1
clickbench,16,interleaved,warm,21,1.7116,0.4052,9
clickbench,16,interleaved,cold,22,0.8675,0.0,1
clickbench,16,interleaved,warm,22,1.183,0.446,9
clickbench,16,interleaved,cold,23,2.7283,0.0,1
clickbench,16,interleaved,warm,23,1.3202,0.2834,9
clickbench,16,interleaved,cold,24,0.7109,0.0,1
clickbench,16,interleaved,warm,24,0.9277,0.1233,9
clickbench,16,interleaved,cold,25,0.1841,0.0,1
clickbench,16,interleaved,warm,25,0.1772,0.0179,9
clickbench,16,interleaved,cold,26,1.1265,0.0,1
clickbench,16,interleaved,warm,26,0.5676,0.2103,9
clickbench,16,interleaved,cold,27,0.1675,0.0,1
clickbench,16,interleaved,warm,27,0.1887,0.0324,9
clickbench,16,interleaved,cold,28,0.7106,0.0,1
clickbench,16,interleaved,warm,28,0.8149,0.2614,9
clickbench,16,interleaved,cold,29,5.1452,0.0,1
clickbench,16,interleaved,warm,29,5.5939,1.2216,9
clickbench,16,interleaved,cold,30,0.5841,0.0,1
clickbench,16,interleaved,warm,30,0.6445,0.1568,9
clickbench,16,interleaved,cold,31,1.822,0.0,1
clickbench,16,interleaved,warm,31,2.0346,0.9762,9
clickbench,16,interleaved,cold,32,3.6657,0.0,1
clickbench,16,interleaved,warm,32,1.9853,0.8671,9
clickbench,16,interleaved,cold,33,3.4057,0.0,1
clickbench,16,interleaved,warm,33,3.7461,1.6917,9
clickbench,16,interleaved,cold,34,3.806,0.0,1
clickbench,16,interleaved,warm,34,2.4341,0.5967,9
clickbench,16,interleaved,cold,35,6.6484,0.0,1
clickbench,16,interleaved,warm,35,2.6579,0.6645,9
clickbench,16,interleaved,cold,36,1.1477,0.0,1
clickbench,16,interleaved,warm,36,1.0215,0.2038,9
clickbench,16,interleaved,cold,37,0.4374,0.0,1
clickbench,16,interleaved,warm,37,0.4117,0.0494,9
clickbench,16,interleaved,cold,38,0.1626,0.0,1
clickbench,16,interleaved,warm,38,0.1327,0.0223,9
clickbench,16,interleaved,cold,39,0.1489,0.0,1
clickbench,16,interleaved,warm,39,0.1545,0.022,9
clickbench,16,interleaved,cold,40,0.5052,0.0,1
clickbench,16,interleaved,warm,40,0.6461,0.0553,9
clickbench,16,interleaved,cold,41,0.1491,0.0,1
clickbench,16,interleaved,warm,41,0.0994,0.0108,9
clickbench,16,interleaved,cold,42,0.1398,0.0,1
clickbench,16,interleaved,warm,42,0.1204,0.0193,9
clickbench,16,interleaved,cold,43,0.1225,0.0,1
clickbench,16,interleaved,warm,43,0.108,0.0185,9
clickbench,16,numa-balancing,cold,1,0.0095,0.0,1
clickbench,16,numa-balancing,warm,1,0.0061,0.0009,9
clickbench,16,numa-balancing,cold,2,0.44,0.0,1
clickbench,16,numa-balancing,warm,2,0.2313,0.0471,9
clickbench,16,numa-balancing,cold,3,0.3903,0.0,1
clickbench,16,numa-balancing,warm,3,0.3394,0.1138,9
clickbench,16,numa-balancing,cold,4,0.8824,0.0,1
clickbench,16,numa-balancing,warm,4,0.2358,0.0923,9
clickbench,16,numa-balancing,cold,5,3.4474,0.0,1
clickbench,16,numa-balancing,warm,5,2.1905,1.267,9
clickbench,16,numa-balancing,cold,6,1.9537,0.0,1
clickbench,16,numa-balancing,warm,6,1.7173,1.161,9
clickbench,16,numa-balancing,cold,7,0.2204,0.0,1
clickbench,16,numa-balancing,warm,7,0.1191,0.0081,9
clickbench,16,numa-balancing,cold,8,0.3662,0.0,1
clickbench,16,numa-balancing,warm,8,0.2465,0.0543,9
clickbench,16,numa-balancing,cold,9,1.728,0.0,1
clickbench,16,numa-balancing,warm,9,3.3725,0.7567,9
clickbench,16,numa-balancing,cold,10,2.8416,0.0,1
clickbench,16,numa-balancing,warm,10,3.3691,1.1704,9
clickbench,16,numa-balancing,cold,11,1.0718,0.0,1
clickbench,16,numa-balancing,warm,11,1.0986,0.2646,9
clickbench,16,numa-balancing,cold,12,1.1296,0.0,1
clickbench,16,numa-balancing,warm,12,1.4296,0.2821,9
clickbench,16,numa-balancing,cold,13,2.1193,0.0,1
clickbench,16,numa-balancing,warm,13,2.7358,0.5844,9
clickbench,16,numa-balancing,cold,14,4.4374,0.0,1
clickbench,16,numa-balancing,warm,14,4.9004,1.3214,9
clickbench,16,numa-balancing,cold,15,2.9374,0.0,1
clickbench,16,numa-balancing,warm,15,3.5634,1.5103,9
clickbench,16,numa-balancing,cold,16,2.4823,0.0,1
clickbench,16,numa-balancing,warm,16,4.0261,1.0454,9
clickbench,16,numa-balancing,cold,17,5.412,0.0,1
clickbench,16,numa-balancing,warm,17,3.7928,1.4147,9
clickbench,16,numa-balancing,cold,18,5.6584,0.0,1
clickbench,16,numa-balancing,warm,18,2.7825,1.0081,9
clickbench,16,numa-balancing,cold,19,12.2479,0.0,1
clickbench,16,numa-balancing,warm,19,4.5082,2.9225,9
clickbench,16,numa-balancing,cold,20,0.3414,0.0,1
clickbench,16,numa-balancing,warm,20,0.1811,0.0426,9
clickbench,16,numa-balancing,cold,21,7.138,0.0,1
clickbench,16,numa-balancing,warm,21,1.6513,0.5022,9
clickbench,16,numa-balancing,cold,22,7.0192,0.0,1
clickbench,16,numa-balancing,warm,22,1.4301,0.7281,9
clickbench,16,numa-balancing,cold,23,4.9398,0.0,1
clickbench,16,numa-balancing,warm,23,1.0523,0.2881,9
clickbench,16,numa-balancing,cold,24,1.0277,0.0,1
clickbench,16,numa-balancing,warm,24,0.8086,0.1942,9
clickbench,16,numa-balancing,cold,25,0.2062,0.0,1
clickbench,16,numa-balancing,warm,25,0.1602,0.0188,9
clickbench,16,numa-balancing,cold,26,0.6056,0.0,1
clickbench,16,numa-balancing,warm,26,0.6535,0.2526,9
clickbench,16,numa-balancing,cold,27,0.1565,0.0,1
clickbench,16,numa-balancing,warm,27,0.1598,0.0243,9
clickbench,16,numa-balancing,cold,28,0.7702,0.0,1
clickbench,16,numa-balancing,warm,28,0.7356,0.1647,9
clickbench,16,numa-balancing,cold,29,5.4957,0.0,1
clickbench,16,numa-balancing,warm,29,5.5874,0.7856,9
clickbench,16,numa-balancing,cold,30,0.649,0.0,1
clickbench,16,numa-balancing,warm,30,0.6347,0.1315,9
clickbench,16,numa-balancing,cold,31,1.9397,0.0,1
clickbench,16,numa-balancing,warm,31,1.6937,0.6667,9
clickbench,16,numa-balancing,cold,32,1.5817,0.0,1
clickbench,16,numa-balancing,warm,32,1.8057,0.8209,9
clickbench,16,numa-balancing,cold,33,2.7886,0.0,1
clickbench,16,numa-balancing,warm,33,3.9219,1.6808,9
clickbench,16,numa-balancing,cold,34,2.5357,0.0,1
clickbench,16,numa-balancing,warm,34,2.0315,0.2801,9
clickbench,16,numa-balancing,cold,35,2.7776,0.0,1
clickbench,16,numa-balancing,warm,35,1.8464,0.3496,9
clickbench,16,numa-balancing,cold,36,0.8392,0.0,1
clickbench,16,numa-balancing,warm,36,0.9336,0.1715,9
clickbench,16,numa-balancing,cold,37,0.299,0.0,1
clickbench,16,numa-balancing,warm,37,0.2842,0.0604,9
clickbench,16,numa-balancing,cold,38,0.0961,0.0,1
clickbench,16,numa-balancing,warm,38,0.114,0.0272,9
clickbench,16,numa-balancing,cold,39,0.1123,0.0,1
clickbench,16,numa-balancing,warm,39,0.1474,0.0225,9
clickbench,16,numa-balancing,cold,40,0.4509,0.0,1
clickbench,16,numa-balancing,warm,40,0.5268,0.0435,9
clickbench,16,numa-balancing,cold,41,0.0801,0.0,1
clickbench,16,numa-balancing,warm,41,0.0902,0.0089,9
clickbench,16,numa-balancing,cold,42,0.1095,0.0,1
clickbench,16,numa-balancing,warm,42,0.1107,0.0202,9
clickbench,16,numa-balancing,cold,43,0.1089,0.0,1
clickbench,16,numa-balancing,warm,43,0.0988,0.0117,9
clickbench,16,repl,cold,1,0.0105,0.0,1
clickbench,16,repl,warm,1,0.0057,0.0007,9
clickbench,16,repl,cold,2,0.6333,0.0,1
clickbench,16,repl,warm,2,0.2391,0.0163,9
clickbench,16,repl,cold,3,0.6884,0.0,1
clickbench,16,repl,warm,3,0.3267,0.1327,9
clickbench,16,repl,cold,4,0.9675,0.0,1
clickbench,16,repl,warm,4,0.2662,0.1597,9
clickbench,16,repl,cold,5,5.2009,0.0,1
clickbench,16,repl,warm,5,2.7854,1.5042,9
clickbench,16,repl,cold,6,2.4992,0.0,1
clickbench,16,repl,warm,6,2.2369,1.3688,9
clickbench,16,repl,cold,7,0.2804,0.0,1
clickbench,16,repl,warm,7,0.1217,0.0068,9
clickbench,16,repl,cold,8,0.4809,0.0,1
clickbench,16,repl,warm,8,0.2804,0.0607,9
clickbench,16,repl,cold,9,4.1584,0.0,1
clickbench,16,repl,warm,9,3.4414,1.5395,9
clickbench,16,repl,cold,10,7.0719,0.0,1
clickbench,16,repl,warm,10,3.7074,1.319,9
clickbench,16,repl,cold,11,2.013,0.0,1
clickbench,16,repl,warm,11,1.1313,0.3271,9
clickbench,16,repl,cold,12,2.1411,0.0,1
clickbench,16,repl,warm,12,1.3913,0.2499,9
clickbench,16,repl,cold,13,3.2908,0.0,1
clickbench,16,repl,warm,13,2.7995,0.9175,9
clickbench,16,repl,cold,14,7.7469,0.0,1
clickbench,16,repl,warm,14,5.9236,2.055,9
clickbench,16,repl,cold,15,5.9408,0.0,1
clickbench,16,repl,warm,15,3.32,1.2055,9
clickbench,16,repl,cold,16,3.4171,0.0,1
clickbench,16,repl,warm,16,3.0192,0.9407,9
clickbench,16,repl,cold,17,6.5152,0.0,1
clickbench,16,repl,warm,17,3.2819,1.5948,9
clickbench,16,repl,cold,18,3.3469,0.0,1
clickbench,16,repl,warm,18,2.6548,0.7059,9
clickbench,16,repl,cold,19,7.601,0.0,1
clickbench,16,repl,warm,19,4.3376,2.2077,9
clickbench,16,repl,cold,20,0.2057,0.0,1
clickbench,16,repl,warm,20,0.1996,0.0422,9
clickbench,16,repl,cold,21,5.8971,0.0,1
clickbench,16,repl,warm,21,1.4594,0.5302,9
clickbench,16,repl,cold,22,2.1656,0.0,1
clickbench,16,repl,warm,22,1.1368,0.3568,9
clickbench,16,repl,cold,23,3.8491,0.0,1
clickbench,16,repl,warm,23,1.1706,0.3219,9
clickbench,16,repl,cold,24,1.0747,0.0,1
clickbench,16,repl,warm,24,0.7234,0.1215,9
clickbench,16,repl,cold,25,0.1798,0.0,1
clickbench,16,repl,warm,25,0.1432,0.023,9
clickbench,16,repl,cold,26,0.5993,0.0,1
clickbench,16,repl,warm,26,0.568,0.2182,9
clickbench,16,repl,cold,27,0.1649,0.0,1
clickbench,16,repl,warm,27,0.1602,0.0293,9
clickbench,16,repl,cold,28,1.0205,0.0,1
clickbench,16,repl,warm,28,0.7441,0.2935,9
clickbench,16,repl,cold,29,8.0612,0.0,1
clickbench,16,repl,warm,29,5.217,0.9529,9
clickbench,16,repl,cold,30,0.4927,0.0,1
clickbench,16,repl,warm,30,0.5824,0.12,9
clickbench,16,repl,cold,31,1.3807,0.0,1
clickbench,16,repl,warm,31,1.4364,0.3529,9
clickbench,16,repl,cold,32,1.46,0.0,1
clickbench,16,repl,warm,32,1.4187,0.5335,9
clickbench,16,repl,cold,33,2.6156,0.0,1
clickbench,16,repl,warm,33,3.5002,1.6575,9
clickbench,16,repl,cold,34,3.0059,0.0,1
clickbench,16,repl,warm,34,2.4131,1.3422,9
clickbench,16,repl,cold,35,3.9237,0.0,1
clickbench,16,repl,warm,35,1.8833,0.1998,9
clickbench,16,repl,cold,36,1.0465,0.0,1
clickbench,16,repl,warm,36,0.9977,0.2292,9
clickbench,16,repl,cold,37,0.2595,0.0,1
clickbench,16,repl,warm,37,0.2929,0.0646,9
clickbench,16,repl,cold,38,0.0781,0.0,1
clickbench,16,repl,warm,38,0.1137,0.0214,9
clickbench,16,repl,cold,39,0.126,0.0,1
clickbench,16,repl,warm,39,0.1381,0.028,9
clickbench,16,repl,cold,40,0.5105,0.0,1
clickbench,16,repl,warm,40,0.528,0.0586,9
clickbench,16,repl,cold,41,0.129,0.0,1
clickbench,16,repl,warm,41,0.0916,0.0058,9
clickbench,16,repl,cold,42,0.1201,0.0,1
clickbench,16,repl,warm,42,0.1054,0.0125,9
clickbench,16,repl,cold,43,0.1116,0.0,1
clickbench,16,repl,warm,43,0.1042,0.0153,9
clickbench,1,firsttouch,cold,1,0.0552,0.0,1
clickbench,1,firsttouch,warm,1,0.0022,0.0001,9
clickbench,1,firsttouch,cold,2,0.4001,0.0,1
clickbench,1,firsttouch,warm,2,0.0309,0.0027,9
clickbench,1,firsttouch,cold,3,0.6244,0.0,1
clickbench,1,firsttouch,warm,3,0.0141,0.0031,9
clickbench,1,firsttouch,cold,4,1.3554,0.0,1
clickbench,1,firsttouch,warm,4,0.012,0.0019,9
clickbench,1,firsttouch,cold,5,0.2934,0.0,1
clickbench,1,firsttouch,warm,5,0.1334,0.0071,9
clickbench,1,firsttouch,cold,6,2.2709,0.0,1
clickbench,1,firsttouch,warm,6,0.1301,0.0272,9
clickbench,1,firsttouch,cold,7,0.0241,0.0,1
clickbench,1,firsttouch,warm,7,0.0441,0.002,9
clickbench,1,firsttouch,cold,8,0.0233,0.0,1
clickbench,1,firsttouch,warm,8,0.0137,0.0018,9
clickbench,1,firsttouch,cold,9,0.8352,0.0,1
clickbench,1,firsttouch,warm,9,0.1698,0.0052,9
clickbench,1,firsttouch,cold,10,0.262,0.0,1
clickbench,1,firsttouch,warm,10,0.2507,0.007,9
clickbench,1,firsttouch,cold,11,0.485,0.0,1
clickbench,1,firsttouch,warm,11,0.063,0.0055,9
clickbench,1,firsttouch,cold,12,0.3026,0.0,1
clickbench,1,firsttouch,warm,12,0.0677,0.0074,9
clickbench,1,firsttouch,cold,13,0.1595,0.0,1
clickbench,1,firsttouch,warm,13,0.1315,0.0057,9
clickbench,1,firsttouch,cold,14,0.3073,0.0,1
clickbench,1,firsttouch,warm,14,0.2546,0.0135,9
clickbench,1,firsttouch,cold,15,0.4924,0.0,1
clickbench,1,firsttouch,warm,15,0.1367,0.0038,9
clickbench,1,firsttouch,cold,16,0.1481,0.0,1
clickbench,1,firsttouch,warm,16,0.1473,0.0046,9
clickbench,1,firsttouch,cold,17,0.3354,0.0,1
clickbench,1,firsttouch,warm,17,0.2868,0.0096,9
clickbench,1,firsttouch,cold,18,0.3102,0.0,1
clickbench,1,firsttouch,warm,18,0.2911,0.0076,9
clickbench,1,firsttouch,cold,19,2.7077,0.0,1
clickbench,1,firsttouch,warm,19,0.5267,0.0112,9
clickbench,1,firsttouch,cold,20,0.0091,0.0,1
clickbench,1,firsttouch,warm,20,0.0089,0.0014,9
clickbench,1,firsttouch,cold,21,12.6018,0.0,1
clickbench,1,firsttouch,warm,21,0.201,0.0074,9
clickbench,1,firsttouch,cold,22,0.1991,0.0,1
clickbench,1,firsttouch,warm,22,0.182,0.0093,9
clickbench,1,firsttouch,cold,23,6.4009,0.0,1
clickbench,1,firsttouch,warm,23,0.2005,0.0111,9
clickbench,1,firsttouch,cold,24,0.4653,0.0,1
clickbench,1,firsttouch,warm,24,0.0739,0.0042,9
clickbench,1,firsttouch,cold,25,0.0188,0.0,1
clickbench,1,firsttouch,warm,25,0.0171,0.0012,9
clickbench,1,firsttouch,cold,26,0.1039,0.0,1
clickbench,1,firsttouch,warm,26,0.0908,0.0015,9
clickbench,1,firsttouch,cold,27,0.0213,0.0,1
