streams,stream,tag,pass,warmup,query,elapsed_s,rows,start_time,end_time
16,2,numa-balancing,1,True,6,1.4978,1,2026-08-27T17:24:15.682021,2026-08-27T17:24:17.179898
16,2,numa-balancing,1,True,7,0.0404,1,2026-08-27T17:24:17.180027,2026-08-27T17:24:17.220487
16,8,numa-balancing,1,True,20,0.1079,4,2026-08-27T17:24:17.155286,2026-08-27T17:24:17.263215
16,1,numa-balancing,1,True,9,0.7859,10,2026-08-27T17:24:16.562498,2026-08-27T17:24:17.348449
16,5,numa-balancing,1,True,9,5.0981,10,2026-08-27T17:24:12.414437,2026-08-27T17:24:17.512541
16,15,numa-balancing,1,True,17,5.7438,10,2026-08-27T17:24:11.792513,2026-08-27T17:24:17.536301
16,2,numa-balancing,1,True,8,0.4827,18,2026-08-27T17:24:17.220597,2026-08-27T17:24:17.703358
16,11,numa-balancing,1,True,18,7.0132,10,2026-08-27T17:24:10.783551,2026-08-27T17:24:17.796758
16,4,numa-balancing,1,True,10,0.8866,10,2026-08-27T17:24:17.156812,2026-08-27T17:24:18.043413
16,0,numa-balancing,1,True,9,0.8809,10,2026-08-27T17:24:17.165713,2026-08-27T17:24:18.046646
16,1,numa-balancing,1,True,10,0.774,10,2026-08-27T17:24:17.348578,2026-08-27T17:24:18.122596
16,4,numa-balancing,1,True,11,0.3645,10,2026-08-27T17:24:18.043515,2026-08-27T17:24:18.408094
16,1,numa-balancing,1,True,11,0.3792,10,2026-08-27T17:24:18.122683,2026-08-27T17:24:18.501874
16,4,numa-balancing,1,True,12,0.3288,10,2026-08-27T17:24:18.408202,2026-08-27T17:24:18.736988
16,1,numa-balancing,1,True,12,0.2432,10,2026-08-27T17:24:18.501982,2026-08-27T17:24:18.745179
16,0,numa-balancing,1,True,10,0.7624,10,2026-08-27T17:24:18.046797,2026-08-27T17:24:18.809199
16,9,numa-balancing,1,True,13,3.1836,10,2026-08-27T17:24:15.755673,2026-08-27T17:24:18.939308
16,2,numa-balancing,1,True,9,1.2839,10,2026-08-27T17:24:17.703444,2026-08-27T17:24:18.987334
16,14,numa-balancing,1,True,15,20.5163,10,2026-08-27T17:23:58.792258,2026-08-27T17:24:19.308574
16,0,numa-balancing,1,True,11,0.5217,10,2026-08-27T17:24:18.809289,2026-08-27T17:24:19.331005
16,1,numa-balancing,1,True,13,0.7979,10,2026-08-27T17:24:18.745271,2026-08-27T17:24:19.543187
16,0,numa-balancing,1,True,12,0.4219,10,2026-08-27T17:24:19.331102,2026-08-27T17:24:19.753058
16,4,numa-balancing,1,True,13,1.5431,10,2026-08-27T17:24:18.737115,2026-08-27T17:24:20.280229
16,0,numa-balancing,1,True,13,0.684,10,2026-08-27T17:24:19.753145,2026-08-27T17:24:20.437143
16,1,numa-balancing,1,True,14,1.0001,10,2026-08-27T17:24:19.543280,2026-08-27T17:24:20.543419
16,1,numa-balancing,1,True,15,1.1502,10,2026-08-27T17:24:20.543507,2026-08-27T17:24:21.693719
16,0,numa-balancing,1,True,14,1.3872,10,2026-08-27T17:24:20.437237,2026-08-27T17:24:21.824470
16,12,numa-balancing,1,True,18,6.4317,10,2026-08-27T17:24:15.678329,2026-08-27T17:24:22.110080
16,4,numa-balancing,1,True,14,1.8357,10,2026-08-27T17:24:20.280316,2026-08-27T17:24:22.116060
16,1,numa-balancing,1,True,16,0.7053,10,2026-08-27T17:24:21.693809,2026-08-27T17:24:22.399154
16,0,numa-balancing,1,True,15,0.6804,10,2026-08-27T17:24:21.824546,2026-08-27T17:24:22.504992
16,13,numa-balancing,1,True,18,6.783,10,2026-08-27T17:24:15.769665,2026-08-27T17:24:22.552740
16,0,numa-balancing,1,True,16,1.4849,10,2026-08-27T17:24:22.505074,2026-08-27T17:24:23.990007
16,1,numa-balancing,1,True,17,1.641,10,2026-08-27T17:24:22.399241,2026-08-27T17:24:24.040243
16,12,numa-balancing,1,True,19,2.8133,10,2026-08-27T17:24:22.110167,2026-08-27T17:24:24.923588
16,12,numa-balancing,1,True,20,0.1418,4,2026-08-27T17:24:24.924012,2026-08-27T17:24:25.065814
16,14,numa-balancing,1,True,16,6.4793,10,2026-08-27T17:24:19.308650,2026-08-27T17:24:25.788039
16,0,numa-balancing,1,True,17,1.8927,10,2026-08-27T17:24:23.990128,2026-08-27T17:24:25.882808
16,5,numa-balancing,1,True,10,9.4196,10,2026-08-27T17:24:17.512695,2026-08-27T17:24:26.932816
16,10,numa-balancing,1,True,19,16.7736,10,2026-08-27T17:24:10.387302,2026-08-27T17:24:27.160894
16,10,numa-balancing,1,True,20,0.0365,4,2026-08-27T17:24:27.160970,2026-08-27T17:24:27.197484
16,2,numa-balancing,1,True,10,8.307,10,2026-08-27T17:24:18.987424,2026-08-27T17:24:27.294447
16,1,numa-balancing,1,True,18,4.5314,10,2026-08-27T17:24:24.040318,2026-08-27T17:24:28.571703
16,5,numa-balancing,1,True,11,1.7672,10,2026-08-27T17:24:26.933608,2026-08-27T17:24:28.700869
16,6,numa-balancing,1,True,19,18.2306,10,2026-08-27T17:24:10.486529,2026-08-27T17:24:28.717160
16,6,numa-balancing,1,True,20,0.1212,4,2026-08-27T17:24:28.717228,2026-08-27T17:24:28.838485
16,4,numa-balancing,1,True,15,6.8359,10,2026-08-27T17:24:22.116149,2026-08-27T17:24:28.952048
16,2,numa-balancing,1,True,11,1.6813,10,2026-08-27T17:24:27.294525,2026-08-27T17:24:28.975861
16,2,numa-balancing,1,True,12,0.8198,10,2026-08-27T17:24:28.975945,2026-08-27T17:24:29.795739
16,10,numa-balancing,1,True,21,2.6645,1,2026-08-27T17:24:27.197567,2026-08-27T17:24:29.862048
16,8,numa-balancing,1,True,21,12.6053,1,2026-08-27T17:24:17.263330,2026-08-27T17:24:29.868687
16,1,numa-balancing,1,True,19,1.2981,10,2026-08-27T17:24:28.571846,2026-08-27T17:24:29.870007
16,12,numa-balancing,1,True,21,4.808,1,2026-08-27T17:24:25.065886,2026-08-27T17:24:29.873920
16,1,numa-balancing,1,True,20,0.0446,4,2026-08-27T17:24:29.880377,2026-08-27T17:24:29.925075
16,0,numa-balancing,1,True,18,4.1897,10,2026-08-27T17:24:25.882929,2026-08-27T17:24:30.072695
16,10,numa-balancing,1,True,22,0.5381,10,2026-08-27T17:24:29.862425,2026-08-27T17:24:30.400607
16,12,numa-balancing,1,True,22,0.6653,10,2026-08-27T17:24:29.874151,2026-08-27T17:24:30.539517
16,8,numa-balancing,1,True,22,0.6875,10,2026-08-27T17:24:29.874094,2026-08-27T17:24:30.561643
16,1,numa-balancing,1,True,21,0.7243,1,2026-08-27T17:24:29.925446,2026-08-27T17:24:30.649812
16,1,numa-balancing,1,True,22,0.5695,10,2026-08-27T17:24:30.649908,2026-08-27T17:24:31.219387
16,5,numa-balancing,1,True,12,2.7397,10,2026-08-27T17:24:28.700950,2026-08-27T17:24:31.440706
16,15,numa-balancing,1,True,18,14.0525,10,2026-08-27T17:24:17.536425,2026-08-27T17:24:31.588919
16,2,numa-balancing,1,True,13,1.8405,10,2026-08-27T17:24:29.795898,2026-08-27T17:24:31.636377
16,4,numa-balancing,1,True,16,3.2823,10,2026-08-27T17:24:28.952124,2026-08-27T17:24:32.234466
16,9,numa-balancing,1,True,14,14.6737,10,2026-08-27T17:24:18.939415,2026-08-27T17:24:33.613178
16,7,numa-balancing,1,True,21,22.2149,1,2026-08-27T17:24:14.654362,2026-08-27T17:24:36.870101
16,12,numa-balancing,1,True,23,6.4566,10,2026-08-27T17:24:30.539851,2026-08-27T17:24:36.996468
16,8,numa-balancing,1,True,23,6.4365,10,2026-08-27T17:24:30.561761,2026-08-27T17:24:36.998333
16,3,numa-balancing,1,True,21,21.6687,1,2026-08-27T17:24:15.350161,2026-08-27T17:24:37.018890
16,1,numa-balancing,1,True,23,5.8396,10,2026-08-27T17:24:31.219474,2026-08-27T17:24:37.059065
16,10,numa-balancing,1,True,23,6.6751,10,2026-08-27T17:24:30.400808,2026-08-27T17:24:37.075901
16,2,numa-balancing,1,True,14,5.7375,10,2026-08-27T17:24:31.636472,2026-08-27T17:24:37.374004
16,4,numa-balancing,1,True,17,5.168,10,2026-08-27T17:24:32.234536,2026-08-27T17:24:37.402586
16,9,numa-balancing,1,True,15,3.9127,10,2026-08-27T17:24:33.613265,2026-08-27T17:24:37.526125
16,10,numa-balancing,1,True,24,0.5149,10,2026-08-27T17:24:37.076014,2026-08-27T17:24:37.590905
16,12,numa-balancing,1,True,24,0.6064,10,2026-08-27T17:24:36.997114,2026-08-27T17:24:37.603594
16,8,numa-balancing,1,True,24,0.6116,10,2026-08-27T17:24:36.998455,2026-08-27T17:24:37.610055
16,1,numa-balancing,1,True,24,0.5569,10,2026-08-27T17:24:37.059197,2026-08-27T17:24:37.616177
16,1,numa-balancing,1,True,25,0.1086,10,2026-08-27T17:24:37.616295,2026-08-27T17:24:37.724935
16,8,numa-balancing,1,True,25,0.1167,10,2026-08-27T17:24:37.610159,2026-08-27T17:24:37.726863
16,10,numa-balancing,1,True,25,0.132,10,2026-08-27T17:24:37.598287,2026-08-27T17:24:37.730318
16,12,numa-balancing,1,True,25,0.1382,10,2026-08-27T17:24:37.603716,2026-08-27T17:24:37.741915
16,2,numa-balancing,1,True,15,0.4463,10,2026-08-27T17:24:37.374201,2026-08-27T17:24:37.820509
16,8,numa-balancing,1,True,26,0.2338,10,2026-08-27T17:24:37.727006,2026-08-27T17:24:37.965634
16,1,numa-balancing,1,True,26,0.2947,10,2026-08-27T17:24:37.725045,2026-08-27T17:24:38.019776
16,10,numa-balancing,1,True,26,0.3435,10,2026-08-27T17:24:37.730473,2026-08-27T17:24:38.074004
16,12,numa-balancing,1,True,26,0.3401,10,2026-08-27T17:24:37.742085,2026-08-27T17:24:38.082211
16,8,numa-balancing,1,True,27,0.1201,10,2026-08-27T17:24:37.965768,2026-08-27T17:24:38.085934
16,1,numa-balancing,1,True,27,0.0689,10,2026-08-27T17:24:38.019889,2026-08-27T17:24:38.088794
16,10,numa-balancing,1,True,27,0.0907,10,2026-08-27T17:24:38.074112,2026-08-27T17:24:38.164840
16,12,numa-balancing,1,True,27,0.1402,10,2026-08-27T17:24:38.082320,2026-08-27T17:24:38.222517
16,15,numa-balancing,1,True,19,6.7278,10,2026-08-27T17:24:31.589004,2026-08-27T17:24:38.316863
16,8,numa-balancing,1,True,28,0.4792,25,2026-08-27T17:24:38.086034,2026-08-27T17:24:38.565289
16,1,numa-balancing,1,True,28,0.4768,25,2026-08-27T17:24:38.088869,2026-08-27T17:24:38.565702
16,10,numa-balancing,1,True,28,0.5016,25,2026-08-27T17:24:38.164934,2026-08-27T17:24:38.666549
16,12,numa-balancing,1,True,28,0.558,25,2026-08-27T17:24:38.222632,2026-08-27T17:24:38.780667
16,2,numa-balancing,1,True,16,1.0491,10,2026-08-27T17:24:37.820637,2026-08-27T17:24:38.869769
16,15,numa-balancing,1,True,20,0.8214,4,2026-08-27T17:24:38.317069,2026-08-27T17:24:39.138500
16,5,numa-balancing,1,True,13,9.7783,10,2026-08-27T17:24:31.440791,2026-08-27T17:24:41.219086
16,9,numa-balancing,1,True,16,4.9598,10,2026-08-27T17:24:37.526270,2026-08-27T17:24:42.486070
16,13,numa-balancing,1,True,19,20.8611,10,2026-08-27T17:24:22.552815,2026-08-27T17:24:43.413965
16,13,numa-balancing,1,True,20,0.3519,4,2026-08-27T17:24:43.414062,2026-08-27T17:24:43.766009
16,4,numa-balancing,1,True,18,6.8837,10,2026-08-27T17:24:37.403218,2026-08-27T17:24:44.286958
16,2,numa-balancing,1,True,17,7.5789,10,2026-08-27T17:24:38.869868,2026-08-27T17:24:46.448846
16,10,numa-balancing,1,True,29,7.9723,25,2026-08-27T17:24:38.666680,2026-08-27T17:24:46.638964
16,1,numa-balancing,1,True,29,8.1918,25,2026-08-27T17:24:38.573091,2026-08-27T17:24:46.764889
16,8,numa-balancing,1,True,29,8.28,25,2026-08-27T17:24:38.569607,2026-08-27T17:24:46.849685
16,6,numa-balancing,1,True,21,18.574,1,2026-08-27T17:24:28.838557,2026-08-27T17:24:47.412585
16,10,numa-balancing,1,True,30,0.9122,1,2026-08-27T17:24:46.639071,2026-08-27T17:24:47.551289
16,8,numa-balancing,1,True,30,0.7791,1,2026-08-27T17:24:46.849798,2026-08-27T17:24:47.628921
16,1,numa-balancing,1,True,30,0.8681,1,2026-08-27T17:24:46.764983,2026-08-27T17:24:47.633154
16,4,numa-balancing,1,True,19,3.7684,10,2026-08-27T17:24:44.287050,2026-08-27T17:24:48.055530
16,4,numa-balancing,1,True,20,0.1543,4,2026-08-27T17:24:48.055649,2026-08-27T17:24:48.209990
16,8,numa-balancing,1,True,31,0.7807,10,2026-08-27T17:24:47.629036,2026-08-27T17:24:48.409746
16,10,numa-balancing,1,True,31,0.8848,10,2026-08-27T17:24:47.551400,2026-08-27T17:24:48.436273
16,1,numa-balancing,1,True,31,0.8138,10,2026-08-27T17:24:47.633276,2026-08-27T17:24:48.447148
16,12,numa-balancing,1,True,29,9.6973,25,2026-08-27T17:24:38.780772,2026-08-27T17:24:48.478144
16,2,numa-balancing,1,True,18,2.1225,10,2026-08-27T17:24:46.448959,2026-08-27T17:24:48.571441
16,15,numa-balancing,1,True,21,9.4434,1,2026-08-27T17:24:39.138601,2026-08-27T17:24:48.582036
16,4,numa-balancing,1,True,21,0.4697,1,2026-08-27T17:24:48.210116,2026-08-27T17:24:48.679858
16,12,numa-balancing,1,True,30,0.6444,1,2026-08-27T17:24:48.478247,2026-08-27T17:24:49.122666
16,13,numa-balancing,1,True,21,5.9471,1,2026-08-27T17:24:43.766103,2026-08-27T17:24:49.713214
16,0,numa-balancing,1,True,19,19.8737,10,2026-08-27T17:24:30.072822,2026-08-27T17:24:49.946508
16,0,numa-balancing,1,True,20,0.1384,4,2026-08-27T17:24:49.946578,2026-08-27T17:24:50.085034
16,0,numa-balancing,1,True,21,1.0808,1,2026-08-27T17:24:50.085102,2026-08-27T17:24:51.165971
16,8,numa-balancing,1,True,32,2.8173,10,2026-08-27T17:24:48.410079,2026-08-27T17:24:51.227384
16,15,numa-balancing,1,True,22,2.6535,10,2026-08-27T17:24:48.582133,2026-08-27T17:24:51.235714
16,1,numa-balancing,1,True,32,2.8385,10,2026-08-27T17:24:48.447298,2026-08-27T17:24:51.285823
16,10,numa-balancing,1,True,32,2.9166,10,2026-08-27T17:24:48.436443,2026-08-27T17:24:51.353036
