variant,tag,pass,warmup,query,elapsed_s,rows
-raw,numa-balancing,4,False,30,0.0468,1
-raw,numa-balancing,4,False,31,0.1566,10
-raw,numa-balancing,4,False,32,0.2125,10
-raw,numa-balancing,4,False,33,1.0131,10
-raw,numa-balancing,4,False,34,0.718,10
-raw,numa-balancing,4,False,35,0.7425,10
-raw,numa-balancing,4,False,36,0.1926,10
-raw,numa-balancing,4,False,37,0.0283,10
-raw,numa-balancing,4,False,38,0.0259,10
-raw,numa-balancing,4,False,39,0.0112,10
-raw,numa-balancing,4,False,40,0.0753,10
-raw,numa-balancing,4,False,41,0.0175,10
-raw,numa-balancing,4,False,42,0.0297,10
-raw,numa-balancing,4,False,43,0.0175,10
-raw,numa-balancing,5,False,1,0.0013,1
-raw,numa-balancing,5,False,2,0.0346,1
-raw,numa-balancing,5,False,3,0.0139,1
-raw,numa-balancing,5,False,4,0.0112,1
-raw,numa-balancing,5,False,5,0.1743,1
-raw,numa-balancing,5,False,6,0.2065,1
-raw,numa-balancing,5,False,7,0.0433,1
-raw,numa-balancing,5,False,8,0.0187,18
-raw,numa-balancing,5,False,9,0.2233,10
-raw,numa-balancing,5,False,10,0.3328,10
-raw,numa-balancing,5,False,11,0.104,10
-raw,numa-balancing,5,False,12,0.0907,10
-raw,numa-balancing,5,False,13,0.1572,10
-raw,numa-balancing,5,False,14,0.2793,10
-raw,numa-balancing,5,False,15,0.1662,10
-raw,numa-balancing,5,False,16,0.1946,10
-raw,numa-balancing,5,False,17,0.3964,10
-raw,numa-balancing,5,False,18,0.3686,10
-raw,numa-balancing,5,False,19,0.7154,10
-raw,numa-balancing,5,False,20,0.0068,4
-raw,numa-balancing,5,False,21,0.204,1
-raw,numa-balancing,5,False,22,0.1184,10
-raw,numa-balancing,5,False,23,0.1625,10
-raw,numa-balancing,5,False,24,0.0532,10
-raw,numa-balancing,5,False,25,0.0099,10
-raw,numa-balancing,5,False,26,0.0509,10
-raw,numa-balancing,5,False,27,0.0104,10
-raw,numa-balancing,5,False,28,0.0939,25
-raw,numa-balancing,5,False,29,5.0094,25
-raw,numa-balancing,5,False,30,0.0422,1
-raw,numa-balancing,5,False,31,0.1674,10
-raw,numa-balancing,5,False,32,0.2184,10
-raw,numa-balancing,5,False,33,1.0711,10
-raw,numa-balancing,5,False,34,0.7454,10
-raw,numa-balancing,5,False,35,0.8083,10
-raw,numa-balancing,5,False,36,0.191,10
-raw,numa-balancing,5,False,37,0.0366,10
-raw,numa-balancing,5,False,38,0.0282,10
-raw,numa-balancing,5,False,39,0.0259,10
-raw,numa-balancing,5,False,40,0.0732,10
-raw,numa-balancing,5,False,41,0.0317,10
-raw,numa-balancing,5,False,42,0.018,10
-raw,numa-balancing,5,False,43,0.0148,10
-raw,numa-balancing,6,False,1,0.0013,1
-raw,numa-balancing,6,False,2,0.035,1
-raw,numa-balancing,6,False,3,0.0203,1
-raw,numa-balancing,6,False,4,0.0158,1
-raw,numa-balancing,6,False,5,0.1728,1
-raw,numa-balancing,6,False,6,0.2073,1
-raw,numa-balancing,6,False,7,0.0432,1
-raw,numa-balancing,6,False,8,0.0122,18
-raw,numa-balancing,6,False,9,0.2167,10
-raw,numa-balancing,6,False,10,0.3617,10
-raw,numa-balancing,6,False,11,0.0872,10
-raw,numa-balancing,6,False,12,0.0944,10
-raw,numa-balancing,6,False,13,0.1564,10
-raw,numa-balancing,6,False,14,0.3048,10
-raw,numa-balancing,6,False,15,0.1686,10
-raw,numa-balancing,6,False,16,0.2059,10
-raw,numa-balancing,6,False,17,0.3941,10
-raw,numa-balancing,6,False,18,0.3817,10
-raw,numa-balancing,6,False,19,0.7144,10
-raw,numa-balancing,6,False,20,0.0086,4
-raw,numa-balancing,6,False,21,0.2048,1
-raw,numa-balancing,6,False,22,0.1136,10
-raw,numa-balancing,6,False,23,0.157,10
-raw,numa-balancing,6,False,24,0.059,10
-raw,numa-balancing,6,False,25,0.0103,10
-raw,numa-balancing,6,False,26,0.0488,10
-raw,numa-balancing,6,False,27,0.0116,10
-raw,numa-balancing,6,False,28,0.0952,25
-raw,numa-balancing,6,False,29,5.0463,25
-raw,numa-balancing,6,False,30,0.046,1
-raw,numa-balancing,6,False,31,0.1603,10
-raw,numa-balancing,6,False,32,0.2232,10
-raw,numa-balancing,6,False,33,1.0752,10
-raw,numa-balancing,6,False,34,0.741,10
-raw,numa-balancing,6,False,35,0.7827,10
-raw,numa-balancing,6,False,36,0.1842,10
-raw,numa-balancing,6,False,37,0.0389,10
-raw,numa-balancing,6,False,38,0.0285,10
-raw,numa-balancing,6,False,39,0.0172,10
-raw,numa-balancing,6,False,40,0.0722,10
-raw,numa-balancing,6,False,41,0.0211,10
-raw,numa-balancing,6,False,42,0.0174,10
-raw,numa-balancing,6,False,43,0.0294,10
-raw,numa-balancing,7,False,1,0.0013,1
-raw,numa-balancing,7,False,2,0.0428,1
-raw,numa-balancing,7,False,3,0.0086,1
-raw,numa-balancing,7,False,4,0.0109,1
-raw,numa-balancing,7,False,5,0.1752,1
-raw,numa-balancing,7,False,6,0.2107,1
-raw,numa-balancing,7,False,7,0.0435,1
-raw,numa-balancing,7,False,8,0.0122,18
-raw,numa-balancing,7,False,9,0.2235,10
-raw,numa-balancing,7,False,10,0.3324,10
-raw,numa-balancing,7,False,11,0.0757,10
-raw,numa-balancing,7,False,12,0.0825,10
-raw,numa-balancing,7,False,13,0.1629,10
-raw,numa-balancing,7,False,14,0.2801,10
-raw,numa-balancing,7,False,15,0.1704,10
-raw,numa-balancing,7,False,16,0.1959,10
-raw,numa-balancing,7,False,17,0.3893,10
-raw,numa-balancing,7,False,18,0.3737,10
-raw,numa-balancing,7,False,19,0.7092,10
-raw,numa-balancing,7,False,20,0.0084,4
-raw,numa-balancing,7,False,21,0.2069,1
-raw,numa-balancing,7,False,22,0.11,10
-raw,numa-balancing,7,False,23,0.158,10
-raw,numa-balancing,7,False,24,0.0549,10
-raw,numa-balancing,7,False,25,0.009,10
-raw,numa-balancing,7,False,26,0.0479,10
-raw,numa-balancing,7,False,27,0.0107,10
-raw,numa-balancing,7,False,28,0.0917,25
-raw,numa-balancing,7,False,29,5.0336,25
-raw,numa-balancing,7,False,30,0.0436,1
-raw,numa-balancing,7,False,31,0.1599,10
-raw,numa-balancing,7,False,32,0.2188,10
-raw,numa-balancing,7,False,33,1.0687,10
-raw,numa-balancing,7,False,34,0.7314,10
-raw,numa-balancing,7,False,35,0.7864,10
-raw,numa-balancing,7,False,36,0.1834,10
-raw,numa-balancing,7,False,37,0.0299,10
-raw,numa-balancing,7,False,38,0.0203,10
-raw,numa-balancing,7,False,39,0.0186,10
-raw,numa-balancing,7,False,40,0.0653,10
-raw,numa-balancing,7,False,41,0.0154,10
-raw,numa-balancing,7,False,42,0.0144,10
-raw,numa-balancing,7,False,43,0.0153,10
-raw,numa-balancing,8,False,1,0.0013,1
-raw,numa-balancing,8,False,2,0.0409,1
-raw,numa-balancing,8,False,3,0.0086,1
-raw,numa-balancing,8,False,4,0.0107,1
-raw,numa-balancing,8,False,5,0.1819,1
-raw,numa-balancing,8,False,6,0.1959,1
-raw,numa-balancing,8,False,7,0.044,1
-raw,numa-balancing,8,False,8,0.0126,18
-raw,numa-balancing,8,False,9,0.234,10
-raw,numa-balancing,8,False,10,0.3616,10
-raw,numa-balancing,8,False,11,0.0873,10
-raw,numa-balancing,8,False,12,0.09,10
-raw,numa-balancing,8,False,13,0.1644,10
-raw,numa-balancing,8,False,14,0.2919,10
-raw,numa-balancing,8,False,15,0.1814,10
-raw,numa-balancing,8,False,16,0.1987,10
-raw,numa-balancing,8,False,17,0.4145,10
-raw,numa-balancing,8,False,18,0.3914,10
-raw,numa-balancing,8,False,19,0.7146,10
-raw,numa-balancing,8,False,20,0.0074,4
-raw,numa-balancing,8,False,21,0.2041,1
-raw,numa-balancing,8,False,22,0.1093,10
-raw,numa-balancing,8,False,23,0.1579,10
-raw,numa-balancing,8,False,24,0.0527,10
-raw,numa-balancing,8,False,25,0.0114,10
-raw,numa-balancing,8,False,26,0.0505,10
-raw,numa-balancing,8,False,27,0.0104,10
-raw,numa-balancing,8,False,28,0.0927,25
-raw,numa-balancing,8,False,29,5.0242,25
-raw,numa-balancing,8,False,30,0.0522,1
-raw,numa-balancing,8,False,31,0.1732,10
-raw,numa-balancing,8,False,32,0.2196,10
-raw,numa-balancing,8,False,33,1.0578,10
-raw,numa-balancing,8,False,34,0.7443,10
-raw,numa-balancing,8,False,35,0.7615,10
-raw,numa-balancing,8,False,36,0.1892,10
-raw,numa-balancing,8,False,37,0.0485,10
-raw,numa-balancing,8,False,38,0.0275,10
-raw,numa-balancing,8,False,39,0.0165,10
-raw,numa-balancing,8,False,40,0.0698,10
-raw,numa-balancing,8,False,41,0.024,10
-raw,numa-balancing,8,False,42,0.0123,10
-raw,numa-balancing,8,False,43,0.0109,10
-raw,numa-balancing,9,False,1,0.0013,1
-raw,numa-balancing,9,False,2,0.0345,1
-raw,numa-balancing,9,False,3,0.0109,1
-raw,numa-balancing,9,False,4,0.0109,1
-raw,numa-balancing,9,False,5,0.1816,1
