bench,compression,tag,phase,query,mean_s,std_s,n
clickbench,uncompressed,imbalanced,cold,15,1.0529,0.0,1
clickbench,uncompressed,imbalanced,warm,15,0.2157,0.0039,19
clickbench,uncompressed,imbalanced,cold,16,0.2304,0.0,1
clickbench,uncompressed,imbalanced,warm,16,0.2366,0.005,19
clickbench,uncompressed,imbalanced,cold,17,0.484,0.0,1
clickbench,uncompressed,imbalanced,warm,17,0.4861,0.018,19
clickbench,uncompressed,imbalanced,cold,18,0.4794,0.0,1
clickbench,uncompressed,imbalanced,warm,18,0.4671,0.0091,19
clickbench,uncompressed,imbalanced,cold,19,3.6247,0.0,1
clickbench,uncompressed,imbalanced,warm,19,1.0012,0.0069,19
clickbench,uncompressed,imbalanced,cold,20,0.0114,0.0,1
clickbench,uncompressed,imbalanced,warm,20,0.0102,0.0015,19
clickbench,uncompressed,imbalanced,cold,21,33.2222,0.0,1
clickbench,uncompressed,imbalanced,warm,21,0.2349,0.0027,19
clickbench,uncompressed,imbalanced,cold,22,0.1791,0.0,1
clickbench,uncompressed,imbalanced,warm,22,0.1595,0.0029,19
clickbench,uncompressed,imbalanced,cold,23,28.251,0.0,1
clickbench,uncompressed,imbalanced,warm,23,0.2393,0.0093,19
clickbench,uncompressed,imbalanced,cold,24,0.4288,0.0,1
clickbench,uncompressed,imbalanced,warm,24,0.09,0.0075,19
clickbench,uncompressed,imbalanced,cold,25,0.0105,0.0,1
clickbench,uncompressed,imbalanced,warm,25,0.0111,0.0017,19
clickbench,uncompressed,imbalanced,cold,26,0.051,0.0,1
clickbench,uncompressed,imbalanced,warm,26,0.0509,0.0017,19
clickbench,uncompressed,imbalanced,cold,27,0.0118,0.0,1
clickbench,uncompressed,imbalanced,warm,27,0.0119,0.0021,19
clickbench,uncompressed,imbalanced,cold,28,0.3835,0.0,1
clickbench,uncompressed,imbalanced,warm,28,0.1374,0.005,19
clickbench,uncompressed,imbalanced,cold,29,17.7383,0.0,1
clickbench,uncompressed,imbalanced,warm,29,5.112,0.0358,19
clickbench,uncompressed,imbalanced,cold,30,0.045,0.0,1
clickbench,uncompressed,imbalanced,warm,30,0.0447,0.0033,19
clickbench,uncompressed,imbalanced,cold,31,1.3867,0.0,1
clickbench,uncompressed,imbalanced,warm,31,0.1814,0.0053,19
clickbench,uncompressed,imbalanced,cold,32,1.8362,0.0,1
clickbench,uncompressed,imbalanced,warm,32,0.2706,0.0091,19
clickbench,uncompressed,imbalanced,cold,33,1.3336,0.0,1
clickbench,uncompressed,imbalanced,warm,33,1.3318,0.0197,19
clickbench,uncompressed,imbalanced,cold,34,1.1281,0.0,1
clickbench,uncompressed,imbalanced,warm,34,1.1284,0.0159,19
clickbench,uncompressed,imbalanced,cold,35,1.1916,0.0,1
clickbench,uncompressed,imbalanced,warm,35,1.1808,0.0098,19
clickbench,uncompressed,imbalanced,cold,36,0.2067,0.0,1
clickbench,uncompressed,imbalanced,warm,36,0.2138,0.0081,19
clickbench,uncompressed,imbalanced,cold,37,0.042,0.0,1
clickbench,uncompressed,imbalanced,warm,37,0.0396,0.0078,19
clickbench,uncompressed,imbalanced,cold,38,0.0237,0.0,1
clickbench,uncompressed,imbalanced,warm,38,0.027,0.0065,19
clickbench,uncompressed,imbalanced,cold,39,0.0169,0.0,1
clickbench,uncompressed,imbalanced,warm,39,0.0174,0.0056,19
clickbench,uncompressed,imbalanced,cold,40,0.0702,0.0,1
clickbench,uncompressed,imbalanced,warm,40,0.069,0.0131,19
clickbench,uncompressed,imbalanced,cold,41,0.0429,0.0,1
clickbench,uncompressed,imbalanced,warm,41,0.0159,0.0049,19
clickbench,uncompressed,imbalanced,cold,42,0.0254,0.0,1
clickbench,uncompressed,imbalanced,warm,42,0.0164,0.0036,19
clickbench,uncompressed,imbalanced,cold,43,0.0221,0.0,1
clickbench,uncompressed,imbalanced,warm,43,0.0186,0.0036,19
clickbench,uncompressed,interleaved,cold,1,0.0776,0.0,1
clickbench,uncompressed,interleaved,warm,1,0.0014,0.0001,19
clickbench,uncompressed,interleaved,cold,2,0.8129,0.0,1
clickbench,uncompressed,interleaved,warm,2,0.0423,0.0103,19
clickbench,uncompressed,interleaved,cold,3,0.977,0.0,1
clickbench,uncompressed,interleaved,warm,3,0.0103,0.0031,19
clickbench,uncompressed,interleaved,cold,4,3.537,0.0,1
clickbench,uncompressed,interleaved,warm,4,0.0119,0.002,19
clickbench,uncompressed,interleaved,cold,5,0.2372,0.0,1
clickbench,uncompressed,interleaved,warm,5,0.2011,0.0133,19
clickbench,uncompressed,interleaved,cold,6,5.0719,0.0,1
clickbench,uncompressed,interleaved,warm,6,0.2395,0.0203,19
clickbench,uncompressed,interleaved,cold,7,0.0221,0.0,1
clickbench,uncompressed,interleaved,warm,7,0.0456,0.0003,19
clickbench,uncompressed,interleaved,cold,8,0.0193,0.0,1
clickbench,uncompressed,interleaved,warm,8,0.0159,0.0042,19
clickbench,uncompressed,interleaved,cold,9,1.9611,0.0,1
clickbench,uncompressed,interleaved,warm,9,0.2458,0.0125,19
clickbench,uncompressed,interleaved,cold,10,0.3714,0.0,1
clickbench,uncompressed,interleaved,warm,10,0.3655,0.0145,19
clickbench,uncompressed,interleaved,cold,11,1.9736,0.0,1
clickbench,uncompressed,interleaved,warm,11,0.0992,0.0136,19
clickbench,uncompressed,interleaved,cold,12,0.9241,0.0,1
clickbench,uncompressed,interleaved,warm,12,0.0974,0.0092,19
clickbench,uncompressed,interleaved,cold,13,0.1842,0.0,1
clickbench,uncompressed,interleaved,warm,13,0.1881,0.0109,19
clickbench,uncompressed,interleaved,cold,14,0.3152,0.0,1
clickbench,uncompressed,interleaved,warm,14,0.3261,0.0104,19
clickbench,uncompressed,interleaved,cold,15,0.9477,0.0,1
clickbench,uncompressed,interleaved,warm,15,0.1796,0.0049,19
clickbench,uncompressed,interleaved,cold,16,0.2137,0.0,1
clickbench,uncompressed,interleaved,warm,16,0.2064,0.0073,19
clickbench,uncompressed,interleaved,cold,17,0.4676,0.0,1
clickbench,uncompressed,interleaved,warm,17,0.4507,0.0139,19
clickbench,uncompressed,interleaved,cold,18,0.4113,0.0,1
clickbench,uncompressed,interleaved,warm,18,0.4223,0.0127,19
clickbench,uncompressed,interleaved,cold,19,3.4968,0.0,1
clickbench,uncompressed,interleaved,warm,19,0.8444,0.0088,19
clickbench,uncompressed,interleaved,cold,20,0.0095,0.0,1
clickbench,uncompressed,interleaved,warm,20,0.0103,0.0035,19
clickbench,uncompressed,interleaved,cold,21,33.2711,0.0,1
clickbench,uncompressed,interleaved,warm,21,0.2074,0.0031,19
clickbench,uncompressed,interleaved,cold,22,0.2197,0.0,1
clickbench,uncompressed,interleaved,warm,22,0.1143,0.0056,19
clickbench,uncompressed,interleaved,cold,23,28.2231,0.0,1
clickbench,uncompressed,interleaved,warm,23,0.1848,0.0116,19
clickbench,uncompressed,interleaved,cold,24,0.4337,0.0,1
clickbench,uncompressed,interleaved,warm,24,0.1386,0.0211,19
clickbench,uncompressed,interleaved,cold,25,0.0101,0.0,1
clickbench,uncompressed,interleaved,warm,25,0.0134,0.0038,19
clickbench,uncompressed,interleaved,cold,26,0.0512,0.0,1
clickbench,uncompressed,interleaved,warm,26,0.0496,0.0022,19
clickbench,uncompressed,interleaved,cold,27,0.0105,0.0,1
clickbench,uncompressed,interleaved,warm,27,0.0137,0.0028,19
clickbench,uncompressed,interleaved,cold,28,0.3788,0.0,1
clickbench,uncompressed,interleaved,warm,28,0.1008,0.0081,19
clickbench,uncompressed,interleaved,cold,29,17.7308,0.0,1
clickbench,uncompressed,interleaved,warm,29,5.103,0.0476,19
clickbench,uncompressed,interleaved,cold,30,0.0436,0.0,1
clickbench,uncompressed,interleaved,warm,30,0.0443,0.0032,19
clickbench,uncompressed,interleaved,cold,31,1.3858,0.0,1
clickbench,uncompressed,interleaved,warm,31,0.1715,0.0048,19
clickbench,uncompressed,interleaved,cold,32,1.8207,0.0,1
clickbench,uncompressed,interleaved,warm,32,0.2432,0.0076,19
clickbench,uncompressed,interleaved,cold,33,1.2912,0.0,1
clickbench,uncompressed,interleaved,warm,33,1.2912,0.0123,19
clickbench,uncompressed,interleaved,cold,34,1.0695,0.0,1
clickbench,uncompressed,interleaved,warm,34,1.0342,0.0412,19
clickbench,uncompressed,interleaved,cold,35,1.0164,0.0,1
clickbench,uncompressed,interleaved,warm,35,1.0015,0.0292,19
clickbench,uncompressed,interleaved,cold,36,0.2118,0.0,1
clickbench,uncompressed,interleaved,warm,36,0.2103,0.0196,19
clickbench,uncompressed,interleaved,cold,37,0.0445,0.0,1
clickbench,uncompressed,interleaved,warm,37,0.0432,0.0102,19
clickbench,uncompressed,interleaved,cold,38,0.0286,0.0,1
clickbench,uncompressed,interleaved,warm,38,0.0244,0.0049,19
clickbench,uncompressed,interleaved,cold,39,0.017,0.0,1
clickbench,uncompressed,interleaved,warm,39,0.0179,0.0074,19
clickbench,uncompressed,interleaved,cold,40,0.0823,0.0,1
clickbench,uncompressed,interleaved,warm,40,0.0705,0.0133,19
clickbench,uncompressed,interleaved,cold,41,0.0441,0.0,1
clickbench,uncompressed,interleaved,warm,41,0.0211,0.0089,19
clickbench,uncompressed,interleaved,cold,42,0.0177,0.0,1
clickbench,uncompressed,interleaved,warm,42,0.0178,0.0055,19
clickbench,uncompressed,interleaved,cold,43,0.0161,0.0,1
clickbench,uncompressed,interleaved,warm,43,0.0186,0.0052,19
clickbench,uncompressed,numa-balancing,cold,1,0.077,0.0,1
clickbench,uncompressed,numa-balancing,warm,1,0.0013,0.0,19
clickbench,uncompressed,numa-balancing,cold,2,0.8167,0.0,1
clickbench,uncompressed,numa-balancing,warm,2,0.0383,0.0043,19
clickbench,uncompressed,numa-balancing,cold,3,0.9737,0.0,1
clickbench,uncompressed,numa-balancing,warm,3,0.0097,0.0029,19
clickbench,uncompressed,numa-balancing,cold,4,3.531,0.0,1
clickbench,uncompressed,numa-balancing,warm,4,0.0117,0.0012,19
clickbench,uncompressed,numa-balancing,cold,5,0.1927,0.0,1
clickbench,uncompressed,numa-balancing,warm,5,0.1778,0.0077,19
clickbench,uncompressed,numa-balancing,cold,6,5.0701,0.0,1
clickbench,uncompressed,numa-balancing,warm,6,0.2034,0.0051,19
clickbench,uncompressed,numa-balancing,cold,7,0.0219,0.0,1
clickbench,uncompressed,numa-balancing,warm,7,0.0439,0.0003,19
clickbench,uncompressed,numa-balancing,cold,8,0.018,0.0,1
clickbench,uncompressed,numa-balancing,warm,8,0.0135,0.0016,19
clickbench,uncompressed,numa-balancing,cold,9,1.8876,0.0,1
clickbench,uncompressed,numa-balancing,warm,9,0.2262,0.008,19
clickbench,uncompressed,numa-balancing,cold,10,0.3783,0.0,1
clickbench,uncompressed,numa-balancing,warm,10,0.3408,0.0124,19
clickbench,uncompressed,numa-balancing,cold,11,1.9842,0.0,1
clickbench,uncompressed,numa-balancing,warm,11,0.0839,0.0084,19
clickbench,uncompressed,numa-balancing,cold,12,0.9215,0.0,1
clickbench,uncompressed,numa-balancing,warm,12,0.0904,0.0063,19
clickbench,uncompressed,numa-balancing,cold,13,0.2165,0.0,1
clickbench,uncompressed,numa-balancing,warm,13,0.1624,0.0096,19
clickbench,uncompressed,numa-balancing,cold,14,0.2918,0.0,1
clickbench,uncompressed,numa-balancing,warm,14,0.2964,0.0109,19
clickbench,uncompressed,numa-balancing,cold,15,0.9435,0.0,1
clickbench,uncompressed,numa-balancing,warm,15,0.1701,0.0054,19
clickbench,uncompressed,numa-balancing,cold,16,0.2078,0.0,1
clickbench,uncompressed,numa-balancing,warm,16,0.197,0.0055,19
clickbench,uncompressed,numa-balancing,cold,17,0.4069,0.0,1
clickbench,uncompressed,numa-balancing,warm,17,0.3992,0.0108,19
clickbench,uncompressed,numa-balancing,cold,18,0.3628,0.0,1
clickbench,uncompressed,numa-balancing,warm,18,0.3872,0.0166,19
clickbench,uncompressed,numa-balancing,cold,19,3.5252,0.0,1
clickbench,uncompressed,numa-balancing,warm,19,0.7164,0.0144,19
clickbench,uncompressed,numa-balancing,cold,20,0.0108,0.0,1
clickbench,uncompressed,numa-balancing,warm,20,0.0075,0.001,19
clickbench,uncompressed,numa-balancing,cold,21,33.3714,0.0,1
clickbench,uncompressed,numa-balancing,warm,21,0.207,0.0032,19
clickbench,uncompressed,numa-balancing,cold,22,0.1324,0.0,1
clickbench,uncompressed,numa-balancing,warm,22,0.1116,0.0036,19
clickbench,uncompressed,numa-balancing,cold,23,28.2834,0.0,1
clickbench,uncompressed,numa-balancing,warm,23,0.1601,0.0053,19
clickbench,uncompressed,numa-balancing,cold,24,0.436,0.0,1
clickbench,uncompressed,numa-balancing,warm,24,0.0572,0.0039,19
clickbench,uncompressed,numa-balancing,cold,25,0.0108,0.0,1
clickbench,uncompressed,numa-balancing,warm,25,0.0105,0.0012,19
clickbench,uncompressed,numa-balancing,cold,26,0.0499,0.0,1
clickbench,uncompressed,numa-balancing,warm,26,0.0514,0.0065,19
clickbench,uncompressed,numa-balancing,cold,27,0.01,0.0,1
clickbench,uncompressed,numa-balancing,warm,27,0.0108,0.0006,19
clickbench,uncompressed,numa-balancing,cold,28,0.3876,0.0,1
