sf,tag,pass,warmup,query,elapsed_s,rows
10-raw,imbalanced,8,False,3,0.1041,10
10-raw,imbalanced,8,False,4,0.1284,5
10-raw,imbalanced,8,False,5,0.1163,5
10-raw,imbalanced,8,False,6,0.0261,1
10-raw,imbalanced,8,False,7,0.0979,4
10-raw,imbalanced,8,False,8,0.1149,2
10-raw,imbalanced,8,False,9,0.3382,175
10-raw,imbalanced,8,False,10,0.2557,20
10-raw,imbalanced,8,False,11,0.0281,0
10-raw,imbalanced,8,False,12,0.0889,2
10-raw,imbalanced,8,False,13,0.2278,45
10-raw,imbalanced,8,False,14,0.0669,1
10-raw,imbalanced,8,False,15,0.0458,1
10-raw,imbalanced,8,False,16,0.1394,27840
10-raw,imbalanced,8,False,17,0.0724,1
10-raw,imbalanced,8,False,18,0.2561,100
10-raw,imbalanced,8,False,19,0.0916,1
10-raw,imbalanced,8,False,20,0.083,1804
10-raw,imbalanced,8,False,21,0.1791,100
10-raw,imbalanced,8,False,22,0.077,7
10-raw,imbalanced,9,False,1,0.0942,4
10-raw,imbalanced,9,False,2,0.0504,100
10-raw,imbalanced,9,False,3,0.1054,10
10-raw,imbalanced,9,False,4,0.1103,5
10-raw,imbalanced,9,False,5,0.1197,5
10-raw,imbalanced,9,False,6,0.0252,1
10-raw,imbalanced,9,False,7,0.1007,4
10-raw,imbalanced,9,False,8,0.1399,2
10-raw,imbalanced,9,False,9,0.3366,175
10-raw,imbalanced,9,False,10,0.2697,20
10-raw,imbalanced,9,False,11,0.0288,0
10-raw,imbalanced,9,False,12,0.0954,2
10-raw,imbalanced,9,False,13,0.2262,45
10-raw,imbalanced,9,False,14,0.0668,1
10-raw,imbalanced,9,False,15,0.0443,1
10-raw,imbalanced,9,False,16,0.1376,27840
10-raw,imbalanced,9,False,17,0.0672,1
10-raw,imbalanced,9,False,18,0.2693,100
10-raw,imbalanced,9,False,19,0.0908,1
10-raw,imbalanced,9,False,20,0.0838,1804
10-raw,imbalanced,9,False,21,0.2274,100
10-raw,imbalanced,9,False,22,0.083,7
10-raw,imbalanced,10,False,1,0.0942,4
10-raw,imbalanced,10,False,2,0.0442,100
10-raw,imbalanced,10,False,3,0.1022,10
10-raw,imbalanced,10,False,4,0.1344,5
10-raw,imbalanced,10,False,5,0.1198,5
10-raw,imbalanced,10,False,6,0.0264,1
10-raw,imbalanced,10,False,7,0.101,4
10-raw,imbalanced,10,False,8,0.1283,2
10-raw,imbalanced,10,False,9,0.3287,175
10-raw,imbalanced,10,False,10,0.2657,20
