,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT2,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,SKT3,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2026-09-09,17:55:05.864,    1.11,    1.03,    1.07,    1.01,    1.18,    1.10,    0.93,    0.83,    0.87,    0.79,    0.87,    0.77,    6.03,    5.54,7846698114,   11.57,    0.77,    0.76,    0.77,    0.75,    0.78,    0.75,    0.60,    0.58,    0.60,    0.57,    0.59,    0.57,    4.12,    3.97,7845286398,    8.09,    0.87,    0.86,    0.93,    0.93,    0.91,    0.90,    0.67,    0.66,    0.67,    0.67,    0.67,    0.66,    4.71,    4.68,7824126103,    9.39,    7.82,  102.35,    6.91,  102.23,    7.70,  102.69,    3.19,  100.20,    3.84,  100.41,    2.81,   99.91,   32.28,  607.78,7845920536,  640.06,     47.14,    621.98,    669.12
2026-09-09,17:55:06.865,    0.99,    0.98,    0.96,    0.96,    1.08,    1.06,    0.83,    0.79,    0.78,    0.76,    0.75,    0.73,    5.39,    5.28,7818712189,   10.67,    0.81,    0.77,    0.80,    0.76,    0.82,    0.77,    0.61,    0.58,    0.61,    0.58,    0.60,    0.57,    4.26,    4.02,7817584179,    8.28,    0.80,    0.82,    0.85,    0.88,    0.84,    0.85,    0.66,    0.66,    0.65,    0.65,    0.65,    0.65,    4.46,    4.50,7790567286,    8.96,    7.76,  103.29,    6.85,  103.13,    7.65,  103.55,    3.20,  100.69,    3.97,  100.96,    2.85,  100.39,   32.29,  612.02,7819041259,  644.31,     46.40,    625.82,    672.22
2026-09-09,17:55:07.864,    1.00,    0.98,    0.96,    0.96,    1.04,    1.03,    0.83,    0.79,    0.79,    0.77,    0.76,    0.74,    5.37,    5.26,7843399853,   10.63,    0.76,    0.74,    0.75,    0.73,    0.76,    0.73,    0.60,    0.56,    0.59,    0.56,    0.58,    0.56,    4.04,    3.89,7839250136,    7.93,    0.83,    0.81,    0.87,    0.87,    0.85,    0.83,    0.65,    0.63,    0.64,    0.62,    0.64,    0.63,    4.48,    4.39,7815506391,    8.87,    7.73,  101.66,    6.79,  101.51,    7.58,  101.99,    3.16,   99.47,    3.92,   99.76,    2.83,   99.22,   32.01,  603.62,7837978075,  635.63,     45.90,    617.15,    663.06
2026-09-09,17:55:08.865,    1.25,    1.15,    1.19,    1.10,    1.28,    1.18,    1.03,    0.91,    1.00,    0.90,    0.96,    0.84,    6.71,    6.09,7837969884,   12.80,    0.83,    0.80,    0.80,    0.77,    0.83,    0.80,    0.62,    0.58,    0.64,    0.60,    0.63,    0.60,    4.35,    4.16,7837133487,    8.50,    1.11,    1.08,    1.14,    1.11,    1.13,    1.08,    0.83,    0.82,    0.82,    0.81,    0.81,    0.80,    5.84,    5.71,7817376057,   11.55,    8.41,  102.76,    7.48,  102.56,    8.32,  103.05,    3.82,  100.38,    4.57,  100.67,    3.46,  100.10,   36.05,  609.52,7841128372,  645.58,     52.95,    625.47,    678.43
2026-09-09,17:55:09.865,    1.05,    1.00,    1.02,    0.98,    1.12,    1.07,    0.88,    0.81,    0.85,    0.79,    0.82,    0.75,    5.73,    5.41,7747203899,   11.14,    0.77,    0.77,    0.75,    0.76,    0.78,    0.77,    0.60,    0.58,    0.60,    0.58,    0.58,    0.57,    4.08,    4.03,7746894840,    8.11,    0.74,    0.75,    0.76,    0.78,    0.75,    0.75,    0.59,    0.59,    0.59,    0.59,    0.59,    0.59,    4.03,    4.05,7715268107,    8.08,    7.65,   99.91,    6.70,   99.68,    7.48,  100.19,    3.13,   97.67,    3.80,   97.89,    2.79,   97.37,   31.55,  592.71,7746378692,  624.26,     45.39,    606.20,    651.59
2026-09-09,17:55:10.866,    0.93,    0.88,    0.92,    0.88,    1.02,    0.97,    0.83,    0.76,    0.77,    0.71,    0.76,    0.70,    5.23,    4.90,7764584568,   10.13,    0.73,    0.73,    0.71,    0.72,    0.74,    0.73,    0.58,    0.56,    0.60,    0.59,    0.57,    0.56,    3.92,    3.89,7760668242,    7.81,    0.72,    0.73,    0.73,    0.75,    0.72,    0.72,    0.58,    0.58,    0.58,    0.58,    0.58,    0.57,    3.91,    3.94,7733561212,    7.85,    7.63,  100.00,    6.71,   99.85,    7.48,  100.27,    3.12,   97.80,    3.78,   98.00,    2.80,   97.51,   31.51,  593.42,7763072661,  624.94,     44.57,    606.15,    650.72
2026-09-09,17:55:11.866,    1.00,    0.98,    0.96,    0.95,    1.07,    1.06,    0.82,    0.79,    0.78,    0.77,    0.75,    0.73,    5.38,    5.27,7791309334,   10.65,    0.73,    0.83,    0.71,    0.82,    0.74,    0.84,    0.58,    0.65,    0.58,    0.65,    0.57,    0.65,    3.92,    4.44,7789793539,    8.36,    0.71,    0.73,    0.73,    0.75,    0.71,    0.72,    0.57,    0.58,    0.58,    0.58,    0.57,    0.57,    3.88,    3.93,7759398081,    7.81,    8.50,  103.09,    7.50,  102.88,    8.32,  103.32,    3.68,  100.76,    4.47,  101.08,    3.36,  100.53,   35.83,  611.66,7790870860,  647.49,     49.00,    625.32,    674.32
2026-09-09,17:55:12.866,    0.87,    0.85,    0.86,    0.87,    0.97,    0.96,    0.79,    0.74,    0.72,    0.70,    0.72,    0.69,    4.94,    4.80,7824631105,    9.74,    0.75,    0.75,    0.74,    0.76,    0.76,    0.75,    0.59,    0.57,    0.59,    0.57,    0.57,    0.56,    4.00,    3.96,7824481512,    7.96,    0.71,    0.71,    0.75,    0.75,    0.73,    0.72,    0.58,    0.57,    0.58,    0.58,    0.58,    0.57,    3.92,    3.90,7798471944,    7.82,    7.69,  102.17,    6.78,  102.01,    7.56,  102.44,    2.95,   99.84,    3.67,  100.13,    2.62,   99.59,   31.27,  606.18,7826858468,  637.45,     44.14,    618.84,    662.98
2026-09-09,17:55:13.866,    1.00,    0.94,    0.97,    0.93,    1.06,    0.99,    0.86,    0.78,    0.81,    0.75,    0.79,    0.73,    5.48,    5.13,7828060988,   10.61,    0.74,    0.74,    0.71,    0.72,    0.80,    0.80,    0.60,    0.58,    0.61,    0.59,    0.60,    0.59,    4.05,    4.01,7826213507,    8.07,    0.95,    0.97,    0.93,    0.94,    0.93,    0.94,    0.73,    0.74,    0.73,    0.74,    0.71,    0.71,    4.97,    5.03,7803375169,   10.00,    8.31,  103.04,    7.32,  102.79,    8.17,  103.30,    3.54,  100.42,    4.29,  100.68,    3.22,  100.18,   34.85,  610.39,7828115711,  645.24,     49.36,    624.56,    673.92
2026-09-09,17:55:14.866,    0.95,    0.88,    0.94,    0.90,    1.04,    0.98,    0.84,    0.77,    0.77,    0.70,    0.77,    0.70,    5.29,    4.94,7827290347,   10.23,    0.67,    0.68,    0.67,    0.69,    0.72,    0.73,    0.56,    0.54,    0.57,    0.56,    0.55,    0.54,    3.74,    3.74,7824925335,    7.48,    0.67,    0.69,    0.69,    0.72,    0.67,    0.69,    0.56,    0.56,    0.57,    0.57,    0.57,    0.56,    3.73,    3.78,7802041385,    7.51,    7.71,  102.38,    6.78,  102.29,    7.57,  102.73,    2.99,   99.74,    3.68,   99.98,    2.67,   99.51,   31.40,  606.62,7826550270,  638.02,     44.16,    619.08,    663.24
